name,conference,pscore,h-index,qualis
IEEE International Conference on Robotics and Automation (ICRA)                                                             ,conf/icra,1200,116,A1
Conference on Human Factors in Computing Systems (CHI)                                                                      ,conf/chi,1128,147,A1
Computer Vision and Pattern Recognition (CVPR)                                                                              ,conf/cvpr,1047,167,A1
AAAI Conference on Artificial Intelligence (AAAI)                                                                           ,conf/aaai,1022,93,A1
Neural Information Processing Systems (NIPS)                                                                                ,conf/nips,993,88,A1
Design Automation Conference (DAC)                                                                                          ,conf/dac,904,102,A1
IEEE International Conference on Acoustics\ Speech\ and Signal Processing (ICASSP)                                          ,conf/icassp,867,84,A1
Symposium on the Theory of Computing (STOC)                                                                                 ,conf/stoc,843,100,A1
IEEE Symposium on Foundations of Computer Science (FOCS)                                                                    ,conf/focs,831,94,A1
IEEE/RJS International Conference on Intelligent RObots and Systems (IROS)                                                  ,conf/iros,803,58,A1
Conference of the International Speech Communication Association (INTERSPEECH)                                              ,conf/interspeech,656,80,A1
Conference on Computer Aided Design (ICCAD)                                                                                 ,conf/iccad,619,75,A1
Joint Conference on Artificial Intelligence (IJCAI)                                                                         ,conf/ijcai,610,90,A1
ACM-SIAM Symposium on Discrete Algorithms (SODA)                                                                            ,conf/soda,586,85,A1
INFOCOM (IEEE) (INFOCOM)                                                                                                    ,conf/infocom,574,204,A1
Conference on Machine Learning (ICML)                                                                                       ,conf/icml,571,124,A1
IEEE International Conference on Image Processing (ICIP)                                                                    ,conf/icip,537,69,A1
Conference on Management of Data (SIGMOD)                                                                                   ,conf/sigmod,499,151,A1
Conference on Software Engineering (ICSE)                                                                                   ,conf/icse,477,117,A1
International Parallel (and Distributed) Processing Symposium (IP(D)PS)                                                     ,conf/ipps,471,71,A1
IEEE International Conference on Computer Vision (ICCV)                                                                     ,conf/iccv,469,120,A1
IEEE International Conference on Data Engineering (ICDE)                                                                    ,conf/icde,431,113,A1
Meeting of the Association for Computational Linguistics (ACL)                                                              ,conf/acl,421,110,A1
European Conference on Computer Vision (ECCV)                                                                               ,conf/eccv,408,95,A1
Symposium on Computer Architecture (ISCA)                                                                                   ,conf/isca,390,110,A1
Knowledge Discovery and Data Mining (KDD)                                                                                   ,conf/kdd,366,133,A1
Conference on Applications\ Technologies\ Architectures\ and Protocols for Computer Communication (SIGCOMM)                 ,conf/sigcomm,362,145,A1
Supercomputing (SC)                                                                                                         ,conf/sc,340,76,A1
World Wide Web Conferences (WWW)                                                                                            ,conf/www,322,145,A1
IEEE International Conference on Distributed Computing Systems (ICDCS)                                                      ,conf/icdcs,320,78,A1
Design\ Automation\ and Test in Europe (DATE)                                                                               ,conf/date,319,79,A1
Conference on Computer and Communications Security (CCS)                                                                    ,conf/ccs,309,100,A1
International Conference on Multimedia Computing and Systems (ICMCS)                                                        ,conf/icmcs,308,6,B3
Conference on Uncertainty in Artificial Intelligence (UAI)                                                                  ,conf/uai,305,70,A1
Conference on Information and Knowledge Management (CIKM)                                                                   ,conf/cikm,293,85,A1
Global Communications Conference (GLOBECOM)                                                                                 ,conf/globecom,289,90,A1
ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing (PODC)                                                   ,conf/podc,275,61,A1
ACM Symposium on User Interface Software and Technology (UIST)                                                              ,conf/uist,274,77,A1
Conference on Computer Supported Cooperative Work (CSCW)                                                                    ,conf/cscw,266,78,A1
ACM-SIGACT Symposium on Principles of Programming Languages (POPL)                                                          ,conf/popl,265,89,A1
ACM-SIGPLAN Symposium on Programming Language Design and Implementation (PLDI)                                              ,conf/pldi,263,98,A1
Symposium on Information Theory (ISIT)                                                                                      ,conf/isit,259,31,B1
Colloquium on Automata\ Languages and Programming (ICALP)                                                                   ,conf/icalp,254,61,A1
Conference on Computer Design (ICCD)                                                                                        ,conf/iccd,245,41,A2
IEEE Conference on Decision and Control (CDC)                                                                               ,conf/cdc,244,30,B1
Conference on Parallel Processing (ICPP)                                                                                    ,conf/icpp,240,42,A2
