Name,Entity Id,Rank type,Rank value,Time span
Geoffrey E. Hinton,563069026,Saliency,1,One Year
Alex Krizhevsky,1171453863,Saliency,2,One Year
Ilya Sutskever,215131072,Saliency,3,One Year
Ross B. Girshick,2473549963,Saliency,4,One Year
Kaiming He,2164292938,Saliency,5,One Year
Jian Sun,2200192130,Saliency,6,One Year
Shaoqing Ren,2119543935,Saliency,7,One Year
Yoshua Bengio,161269817,Saliency,8,One Year
Kilian Q. Weinberger,2003907699,Saliency,9,One Year
Gao Huang,2114281204,Saliency,10,One Year
Laurens van der Maaten,731054299,Saliency,11,One Year
Zhuang Liu,2566736780,Saliency,12,One Year
Quoc V. Le,2148448995,Saliency,13,One Year
Liang-Chieh Chen,2127898042,Saliency,14,One Year
Alan L. Yuille,2065104188,Saliency,15,One Year
George Papandreou,2466861874,Saliency,16,One Year
Kevin P. Murphy,2167731548,Saliency,17,One Year
Jinde Cao,2097525001,Saliency,18,One Year
Sergey Levine,2140030024,Saliency,19,One Year
Roberto Cipolla,2117656881,Saliency,20,One Year
Hartwig Adam,2107777167,Saliency,21,One Year
Iasonas Kokkinos,2259861871,Saliency,22,One Year
Alex Kendall,2110605639,Saliency,23,One Year
Song Han,2233699872,Saliency,24,One Year
Noam Shazeer,2496873187,Saliency,25,One Year
Andrew Howard,2612173839,Saliency,26,One Year
Vijay Badrinarayanan,2070256948,Saliency,27,One Year
Menglong Zhu,2924319930,Saliency,28,One Year
Susan M. Swetter,27856879,Saliency,29,One Year
Sebastian Thrun,2075956027,Saliency,30,One Year
Helen M. Blau,2110618111,Saliency,31,One Year
Andre Esteva,2116717815,Saliency,32,One Year
Brett Kuprel,2560836568,Saliency,33,One Year
Justin Ko,2596902436,Saliency,34,One Year
Roberto A. Novoa,2609276108,Saliency,35,One Year
Kurt Keutzer,2003317548,Saliency,36,One Year
Pieter Abbeel,243981275,Saliency,37,One Year
William J. Dally,2037541505,Saliency,38,One Year
Lukasz Kaiser,2156752876,Saliency,39,One Year
Ashish Vaswani,2171687631,Saliency,40,One Year
Bo Chen,2947290959,Saliency,41,One Year
Xiaogang Wang,2227253382,Saliency,42,One Year
Nicholas Carlini,1606335232,Saliency,43,One Year
Jeffrey Dean,2429370538,Saliency,44,One Year
Niki Parmar,2625834147,Saliency,45,One Year
Aidan N. Gomez,2626656444,Saliency,46,One Year
Dmitry Kalenichenko,2548789676,Saliency,47,One Year
Dawn Song,2131252044,Saliency,48,One Year
Jakob Uszkoreit,2226984371,Saliency,49,One Year
Illia Polosukhin,2519781307,Saliency,50,One Year
Llion Jones,2624808693,Saliency,51,One Year
Barret Zoph,2655758810,Saliency,52,One Year
Leonidas J. Guibas,356043702,Saliency,53,One Year
Marco Andreetto,1763693413,Saliency,54,One Year
Tobias Weyand,2106054434,Saliency,55,One Year
Weijun Wang,2612843733,Saliency,56,One Year
David A. Wagner,2109123731,Saliency,57,One Year
Julian Ibarz,2564637752,Saliency,58,One Year
Hao Su,2123144340,Saliency,59,One Year
Vijay Vasudevan,2943029278,Saliency,60,One Year
Aaron C. Courville,2328522601,Saliency,61,One Year
Forrest N. Iandola,1586085599,Saliency,62,One Year
Matthew W. Moskewicz,2323013371,Saliency,63,One Year
Samy Bengio,2016539005,Saliency,64,One Year
Klaus-Robert Müller,2012736320,Saliency,65,One Year
Khalid Ashraf,2070059881,Saliency,66,One Year
Hugo Larochelle,1963576484,Saliency,67,One Year
Razvan Pascanu,662855036,Saliency,68,One Year
Jiaya Jia,2096891736,Saliency,69,One Year
Piotr Dollár,1944499404,Saliency,70,One Year
Simon Haykin,1976731470,Saliency,71,One Year
Fuad E. Alsaadi,1833471561,Saliency,72,One Year
Tingwen Huang,2139160212,Saliency,73,One Year
Zhuowen Tu,2134014566,Saliency,74,One Year
Derong Liu,2619713811,Saliency,75,One Year
Demis Hassabis,4302276,Saliency,76,One Year
Wei He,2618256165,Saliency,77,One Year
Benjamin Recht,2018227268,Saliency,78,One Year
Tat-Seng Chua,2160663097,Saliency,79,One Year
Chiyuan Zhang,2238215317,Saliency,80,One Year
Oriol Vinyals,2634174050,Saliency,81,One Year
Xiaojuan Qi,2490753878,Saliency,82,One Year
Timothy P. Lillicrap,2163886844,Saliency,83,One Year
Joel S. Emer,2103115969,Saliency,84,One Year
Jianping Shi,2105979260,Saliency,85,One Year
Cliff Young,2735877553,Saliency,86,One Year
Moritz Hardt,2301637896,Saliency,87,One Year
David A. Patterson,2098984663,Saliency,88,One Year
Nishant Patil,2612619264,Saliency,89,One Year
Norman Paul Jouppi,2794115984,Saliency,90,One Year
Philip S. Yu,2125104194,Saliency,91,One Year
Aleksander Madry,2137713989,Saliency,92,One Year
Ian J. Goodfellow,1822555116,Saliency,93,One Year
Xiangnan He,2155461083,Saliency,94,One Year
Andrea Vedaldi,332962150,Saliency,95,One Year
Naveen Kumar,2626627521,Saliency,96,One Year
Neil C. Rabinowitz,2669278182,Saliency,97,One Year
Tomaso Poggio,693931197,Saliency,98,One Year
Hengshuang Zhao,2516465340,Saliency,99,One Year
Ding Wang,2717441852,Saliency,100,One Year
Shaoqing Ren,2119543935,Prestige,1,One Year
Alex Krizhevsky,1171453863,Prestige,2,One Year
Ilya Sutskever,215131072,Prestige,3,One Year
Kaiming He,2164292938,Prestige,4,One Year
Illia Polosukhin,2519781307,Prestige,5,One Year
Llion Jones,2624808693,Prestige,6,One Year
Zhuang Liu,2566736780,Prestige,7,One Year
Ross B. Girshick,2473549963,Prestige,8,One Year
Geoffrey E. Hinton,563069026,Prestige,9,One Year
Khalid Ashraf,2070059881,Prestige,10,One Year
Simon Haykin,1976731470,Prestige,11,One Year
Alex Kendall,2110605639,Prestige,12,One Year
Gao Huang,2114281204,Prestige,13,One Year
Laurens van der Maaten,731054299,Prestige,14,One Year
Jian Sun,2200192130,Prestige,15,One Year
Susan M. Swetter,27856879,Prestige,16,One Year
Sebastian Thrun,2075956027,Prestige,17,One Year
Helen M. Blau,2110618111,Prestige,18,One Year
Andre Esteva,2116717815,Prestige,19,One Year
Brett Kuprel,2560836568,Prestige,20,One Year
Justin Ko,2596902436,Prestige,21,One Year
Roberto A. Novoa,2609276108,Prestige,22,One Year
Hengshuang Zhao,2516465340,Prestige,23,One Year
Aidan N. Gomez,2626656444,Prestige,24,One Year
Jakob Uszkoreit,2226984371,Prestige,25,One Year
