Name,Entity Id,Rank type,Rank value,Time span
Xingming Sun,2142656699,Saliency,1,One Year
Ching-Nung Yang,2160564404,Saliency,2,One Year
Q. M. Jonathan Wu,2170386873,Saliency,3,One Year
Zhili Zhou,2233284161,Saliency,4,One Year
Yunlong Wang,2427446601,Saliency,5,One Year
Yu Qiao,2411627636,Saliency,6,One Year
Lei Zhang,2299437103,Saliency,7,One Year
Yaniv Romano,1913869424,Saliency,8,One Year
John Isidoro,2542451280,Saliency,9,One Year
Peyman Milanfar,2721347072,Saliency,10,One Year
Kyoung Mu Lee,2163009075,Saliency,11,One Year
Vishal Monga,2087399380,Saliency,12,One Year
Radu Timofte,2058433139,Saliency,13,One Year
Giang Bui,2081679681,Saliency,14,One Year
Xueying Qin,2096490094,Saliency,15,One Year
Luc Van Gool,2103920730,Saliency,16,One Year
Dacheng Tao,2104129307,Saliency,17,One Year
Ming-Hsuan Yang,2112462370,Saliency,18,One Year
Chen Change Loy,2123758277,Saliency,19,One Year
Liang Lin,2132855449,Saliency,20,One Year
Thomas S. Huang,2149631809,Saliency,21,One Year
Ruxin Wang,2162357545,Saliency,22,One Year
Tiep Huu Vu,2223606939,Saliency,23,One Year
Ding Liu,2284260741,Saliency,24,One Year
Seungjun Nah,2292174981,Saliency,25,One Year
Yulun Zhang,2297316014,Saliency,26,One Year
Munchurl Kim,2298768887,Saliency,27,One Year
Yapeng Tian,2429400013,Saliency,28,One Year
Honghui Shi,2430044262,Saliency,29,One Year
Yuchao Dai,2474928823,Saliency,30,One Year
Truc Le,2498582246,Saliency,31,One Year
Jiahui Yu,2534316611,Saliency,32,One Year
Zhangyang Wang,2574108784,Saliency,33,One Year
Eirikur Agustsson,2595043282,Saliency,34,One Year
Chao Dong,2609354386,Saliency,35,One Year
Wei Han,2676516950,Saliency,36,One Year
Woong Bae,2690245819,Saliency,37,One Year
Xinchao Wang,2707864404,Saliency,38,One Year
Xibin Song,2720901910,Saliency,39,One Year
Jae-Seok Choi,2736534049,Saliency,40,One Year
Shaohui Li,2745533768,Saliency,41,One Year
Jianxin Pang,2745694676,Saliency,42,One Year
Linkai Luo,2745758279,Saliency,43,One Year
Che Zhu,2745831315,Saliency,44,One Year
Vladimir Katkovnik,2746063842,Saliency,45,One Year
Wen Heng,2746126260,Saliency,46,One Year
Yuchen Fan,2746367143,Saliency,47,One Year
Yu Zhao,2746398375,Saliency,48,One Year
Ke Yu,2746509201,Saliency,49,One Year
Ch V.Sai Praveen,2747083842,Saliency,50,One Year
Lei Cao,2747124704,Saliency,51,One Year
Xuan Phung Huynh,2747218347,Saliency,52,One Year
Rakesh Mehta,2747543649,Saliency,53,One Year
Zhengtao Wang,2747872465,Saliency,54,One Year
Jong Chul Ye,2747898196,Saliency,55,One Year
Hongdiao Wen,2747927932,Saliency,56,One Year
Haichao Yu,2747935594,Saliency,57,One Year
Zhimin Tang,2748128878,Saliency,58,One Year
Xu Lin,2748255445,Saliency,59,One Year
Yoseob Han,2748418215,Saliency,60,One Year
Cristovao Cruz,2748460194,Saliency,61,One Year
Ye Duan,2748863241,Saliency,62,One Year
Deqing Sun,2748936200,Saliency,63,One Year
Jinchang Xu,2749129663,Saliency,64,One Year
Karen Egiazarian,2749291720,Saliency,65,One Year
Zhiqiang Xia,2749834874,Saliency,66,One Year
Min Fu,2750024456,Saliency,67,One Year
Xintao Wang,2750051438,Saliency,68,One Year
Qi Guo,2750378567,Saliency,69,One Year
Jaejun Yoo,2750523448,Saliency,70,One Year
Ruofan Zhou,2787955377,Saliency,71,One Year
Arnav Kumar Jain,2790110736,Saliency,72,One Year
Abhinav Agarwalla,2791406637,Saliency,73,One Year
Shixiang Wu,2889717274,Saliency,74,One Year
Xiangyu Xu,2918272177,Saliency,75,One Year
Jinshan Pan,2919464986,Saliency,76,One Year
Yujin Zhang,2920146832,Saliency,77,One Year
Tiantong Guo,2921096620,Saliency,78,One Year
Wangmeng Zuo,2936897796,Saliency,79,One Year
Yunjin Chen,2937971508,Saliency,80,One Year
Kai Zhang,2938716572,Saliency,81,One Year
Hojjat Seyed Mousavi,2942769305,Saliency,82,One Year
Sanghyun Son,2947238123,Saliency,83,One Year
Bee Lim,2947449390,Saliency,84,One Year
Heewon Kim,2947826102,Saliency,85,One Year
Bo Li,2496214547,Saliency,86,One Year
Jun He,2500507406,Saliency,87,One Year
Qiang Fu,2504511964,Saliency,88,One Year
Qimei Chen,2636972073,Saliency,89,One Year
Zhenwei Zhang,2669667744,Saliency,90,One Year
Dengbiao Jiang,2763033047,Saliency,91,One Year
Qi Tian,2102216805,Saliency,92,One Year
Chunjie Zhang,2146064283,Saliency,93,One Year
Yuming Fang,2171021922,Saliency,94,One Year
Weisi Lin,2116268014,Saliency,95,One Year
Dmitry P. Vetrov,2029252525,Saliency,96,One Year
Ruslan Salakhutdinov,2031945151,Saliency,97,One Year
Jonathan Huang,2095785948,Saliency,98,One Year
Yukun Zhu,2127971021,Saliency,99,One Year
Michael Figurnov,2553512968,Saliency,100,One Year
Ching-Nung Yang,2160564404,Prestige,1,One Year
Q. M. Jonathan Wu,2170386873,Prestige,2,One Year
Zhili Zhou,2233284161,Prestige,3,One Year
Yunlong Wang,2427446601,Prestige,4,One Year
Yaniv Romano,1913869424,Prestige,5,One Year
John Isidoro,2542451280,Prestige,6,One Year
Peyman Milanfar,2721347072,Prestige,7,One Year
Radu Timofte,2058433139,Prestige,8,One Year
Giang Bui,2081679681,Prestige,9,One Year
Xueying Qin,2096490094,Prestige,10,One Year
Luc Van Gool,2103920730,Prestige,11,One Year
Dacheng Tao,2104129307,Prestige,12,One Year
Ming-Hsuan Yang,2112462370,Prestige,13,One Year
Chen Change Loy,2123758277,Prestige,14,One Year
Liang Lin,2132855449,Prestige,15,One Year
Thomas S. Huang,2149631809,Prestige,16,One Year
Ruxin Wang,2162357545,Prestige,17,One Year
Tiep Huu Vu,2223606939,Prestige,18,One Year
Ding Liu,2284260741,Prestige,19,One Year
Seungjun Nah,2292174981,Prestige,20,One Year
Yulun Zhang,2297316014,Prestige,21,One Year
Munchurl Kim,2298768887,Prestige,22,One Year
Yapeng Tian,2429400013,Prestige,23,One Year
Honghui Shi,2430044262,Prestige,24,One Year
Yuchao Dai,2474928823,Prestige,25,One Year
Truc Le,2498582246,Prestige,26,One Year
Jiahui Yu,2534316611,Prestige,27,One Year
Zhangyang Wang,2574108784,Prestige,28,One Year
Eirikur Agustsson,2595043282,Prestige,29,One Year
Chao Dong,2609354386,Prestige,30,One Year
Wei Han,2676516950,Prestige,31,One Year
Woong Bae,2690245819,Prestige,32,One Year
Xinchao Wang,2707864404,Prestige,33,One Year
Xibin Song,2720901910,Prestige,34,One Year
Jae-Seok Choi,2736534049,Prestige,35,One Year
Shaohui Li,2745533768,Prestige,36,One Year
Jianxin Pang,2745694676,Prestige,37,One Year
Linkai Luo,2745758279,Prestige,38,One Year
Che Zhu,2745831315,Prestige,39,One Year
Vladimir Katkovnik,2746063842,Prestige,40,One Year
Wen Heng,2746126260,Prestige,41,One Year
Yuchen Fan,2746367143,Prestige,42,One Year
Yu Zhao,2746398375,Prestige,43,One Year
Ke Yu,2746509201,Prestige,44,One Year
Ch V.Sai Praveen,2747083842,Prestige,45,One Year
Lei Cao,2747124704,Prestige,46,One Year
Xuan Phung Huynh,2747218347,Prestige,47,One Year
Rakesh Mehta,2747543649,Prestige,48,One Year
Zhengtao Wang,2747872465,Prestige,49,One Year
Jong Chul Ye,2747898196,Prestige,50,One Year
Hongdiao Wen,2747927932,Prestige,51,One Year
Haichao Yu,2747935594,Prestige,52,One Year
Zhimin Tang,2748128878,Prestige,53,One Year
Xu Lin,2748255445,Prestige,54,One Year
Yoseob Han,2748418215,Prestige,55,One Year
Cristovao Cruz,2748460194,Prestige,56,One Year
Ye Duan,2748863241,Prestige,57,One Year
Deqing Sun,2748936200,Prestige,58,One Year
Jinchang Xu,2749129663,Prestige,59,One Year
Karen Egiazarian,2749291720,Prestige,60,One Year
Zhiqiang Xia,2749834874,Prestige,61,One Year
Min Fu,2750024456,Prestige,62,One Year
Xintao Wang,2750051438,Prestige,63,One Year
Qi Guo,2750378567,Prestige,64,One Year
Jaejun Yoo,2750523448,Prestige,65,One Year
Ruofan Zhou,2787955377,Prestige,66,One Year
Arnav Kumar Jain,2790110736,Prestige,67,One Year
Abhinav Agarwalla,2791406637,Prestige,68,One Year
Shixiang Wu,2889717274,Prestige,69,One Year
Xiangyu Xu,2918272177,Prestige,70,One Year
Jinshan Pan,2919464986,Prestige,71,One Year
Yujin Zhang,2920146832,Prestige,72,One Year
Tiantong Guo,2921096620,Prestige,73,One Year
Wangmeng Zuo,2936897796,Prestige,74,One Year
Yunjin Chen,2937971508,Prestige,75,One Year
Kai Zhang,2938716572,Prestige,76,One Year
Hojjat Seyed Mousavi,2942769305,Prestige,77,One Year
Sanghyun Son,2947238123,Prestige,78,One Year
Bee Lim,2947449390,Prestige,79,One Year
Heewon Kim,2947826102,Prestige,80,One Year
Bo Li,2496214547,Prestige,81,One Year
Jun He,2500507406,Prestige,82,One Year
Qiang Fu,2504511964,Prestige,83,One Year
Qimei Chen,2636972073,Prestige,84,One Year
Zhenwei Zhang,2669667744,Prestige,85,One Year
Dengbiao Jiang,2763033047,Prestige,86,One Year
Xingming Sun,2142656699,Prestige,87,One Year
Dmitry P. Vetrov,2029252525,Prestige,88,One Year
Ruslan Salakhutdinov,2031945151,Prestige,89,One Year
Jonathan Huang,2095785948,Prestige,90,One Year
Yukun Zhu,2127971021,Prestige,91,One Year
Michael Figurnov,2553512968,Prestige,92,One Year
Lei Zhang,2299437103,Prestige,93,One Year
Kyoung Mu Lee,2163009075,Prestige,94,One Year
Vishal Monga,2087399380,Prestige,95,One Year
