Name,Entity Id,Rank type,Rank value,Time span
Maarten de Rijke,401833296,Saliency,1,One Year
W. Bruce Croft,2127889770,Saliency,2,One Year
Xiangyang Zhang,2612279073,Saliency,3,One Year
Tiejun Liu,2612442137,Saliency,4,One Year
Shuai Chen,2613382297,Saliency,5,One Year
Hamed Zamani,2143068131,Saliency,6,One Year
Leif Azzopardi,2163026013,Saliency,7,One Year
Nick Craswell,2009495402,Saliency,8,One Year
Jiawei Han,2121939561,Saliency,9,One Year
Tat-Seng Chua,2160663097,Saliency,10,One Year
Guido Zuccon,1551779932,Saliency,11,One Year
Rui Jin,2591900689,Saliency,12,One Year
Wenhan Bian,2592276363,Saliency,13,One Year
Lihong Li,2594426661,Saliency,14,One Year
Jimmy J. Lin,2163619555,Saliency,15,One Year
Yangyang Li,2603032600,Saliency,16,One Year
Jizhou Huang,2635898744,Saliency,17,One Year
Kun Jing,2698290853,Saliency,18,One Year
Lu Wan,2722791030,Saliency,19,One Year
Andrew Yates,2205106504,Saliency,20,One Year
Nicola Ferro,2150237769,Saliency,21,One Year
Bhaskar Mitra,2229276239,Saliency,22,One Year
Mark A. Musen,2169034151,Saliency,23,One Year
Adam Jatowt,13250842,Saliency,24,One Year
Chenyan Xiong,2226924701,Saliency,25,One Year
Evangelos Kanoulas,1419676578,Saliency,26,One Year
Henning Müller,2112196210,Saliency,27,One Year
Jiafeng Guo,2581340266,Saliency,28,One Year
Xiangnan He,2155461083,Saliency,29,One Year
ChengXiang Zhai,2152766206,Saliency,30,One Year
Jamie Callan,2148123616,Saliency,31,One Year
Liqiang Nie,2151954441,Saliency,32,One Year
Yiqun Liu,2111097927,Saliency,33,One Year
Jianfeng Gao,2104437897,Saliency,34,One Year
Lutz Bornmann,98572569,Saliency,35,One Year
Fabio Crestani,2303795236,Saliency,36,One Year
Min Zhang,2526008467,Saliency,37,One Year
Philip S. Yu,2125104194,Saliency,38,One Year
Yongfeng Zhang,2169961027,Saliency,39,One Year
Xueqi Cheng,2129598186,Saliency,40,One Year
Jaap Kamps,2088944921,Saliency,41,One Year
Gerhard Weikum,514836396,Saliency,42,One Year
Kai Hui,2569066490,Saliency,43,One Year
Mike Thelwall,40084183,Saliency,44,One Year
Krisztian Balog,2100338238,Saliency,45,One Year
J. Stephen Downie,2127663156,Saliency,46,One Year
Yanshan Wang,2498160561,Saliency,47,One Year
Craig Macdonald,2148910894,Saliency,48,One Year
Michael Riegler,2303139154,Saliency,49,One Year
Philipp Mayr,2063715536,Saliency,50,One Year
Syed Ali Jafar,2132264901,Saliency,51,One Year
Hua Sun,2292756324,Saliency,52,One Year
Gareth J. F. Jones,2253680186,Saliency,53,One Year
Klaus Berberich,2064029816,Saliency,54,One Year
Iadh Ounis,336997814,Saliency,55,One Year
Qingyao Ai,2223502885,Saliency,56,One Year
Duc-Tien Dang-Nguyen,810341842,Saliency,57,One Year
Weinan Zhang,2527611484,Saliency,58,One Year
Sijia Liu,2791909180,Saliency,59,One Year
Manoj Plakal,171190246,Saliency,60,One Year
Aren Jansen,2153492846,Saliency,61,One Year
R. Channing Moore,2411503862,Saliency,62,One Year
Dylan Freedman,2593176306,Saliency,63,One Year
Wade Lawrence,2594631384,Saliency,64,One Year
Marvin Ritter,2902078793,Saliency,65,One Year
Jort F. Gemmeke,2921690804,Saliency,66,One Year
Daniel P. W. Ellis,2947501160,Saliency,67,One Year
Luca Piras,1977634491,Saliency,68,One Year
Dina Demner-Fushman,58165029,Saliency,69,One Year
Daqing He,2669503914,Saliency,70,One Year
Zhiyong Lu,2272133122,Saliency,71,One Year
Russell Power,2147949120,Saliency,72,One Year
Hui Fang,2618399871,Saliency,73,One Year
Alistair Moffat,2155888323,Saliency,74,One Year
Li Deng,2101552792,Saliency,75,One Year
Saurabh Tiwary,2642799031,Saliency,76,One Year
Jun Wang,2557836567,Saliency,77,One Year
Cathal Gurrin,2009834041,Saliency,78,One Year
Jason Weston,2058584252,Saliency,79,One Year
Danqi Chen,2104844286,Saliency,80,One Year
Antoine Bordes,2160652726,Saliency,81,One Year
Adam Fisch,2492443013,Saliency,82,One Year
Mostafa Dehghani,2112331270,Saliency,83,One Year
Xia Song,2559582735,Saliency,84,One Year
Feichen Shen,2110647614,Saliency,85,One Year
Huan Liu,2122391114,Saliency,86,One Year
Sören Auer,1994200327,Saliency,87,One Year
James Allan,2097030689,Saliency,88,One Year
Gianmaria Silvello,2084520735,Saliency,89,One Year
Zhang Guanjing,2835947069,Saliency,90,One Year
Hongfang Liu,2659824549,Saliency,91,One Year
Deborah Estrin,2127250160,Saliency,92,One Year
Longqi Yang,2229171165,Saliency,93,One Year
C. Lee Giles,2124749556,Saliency,94,One Year
Evgeny Kharlamov,2037532978,Saliency,95,One Year
Rangan Majumder,2274851310,Saliency,96,One Year
Shaoping Ma,2947593389,Saliency,97,One Year
Chirag Shah,2122808819,Saliency,98,One Year
Wang Hairong,2595413063,Saliency,99,One Year
Gerard de Melo,2134233121,Saliency,100,One Year
Xiangyang Zhang,2612279073,Prestige,1,One Year
Tiejun Liu,2612442137,Prestige,2,One Year
Shuai Chen,2613382297,Prestige,3,One Year
Rui Jin,2591900689,Prestige,4,One Year
Wenhan Bian,2592276363,Prestige,5,One Year
Lihong Li,2594426661,Prestige,6,One Year
Yangyang Li,2603032600,Prestige,7,One Year
Jizhou Huang,2635898744,Prestige,8,One Year
Kun Jing,2698290853,Prestige,9,One Year
Lu Wan,2722791030,Prestige,10,One Year
Syed Ali Jafar,2132264901,Prestige,11,One Year
Hua Sun,2292756324,Prestige,12,One Year
Manoj Plakal,171190246,Prestige,13,One Year
Aren Jansen,2153492846,Prestige,14,One Year
R. Channing Moore,2411503862,Prestige,15,One Year
Dylan Freedman,2593176306,Prestige,16,One Year
Wade Lawrence,2594631384,Prestige,17,One Year
Marvin Ritter,2902078793,Prestige,18,One Year
Jort F. Gemmeke,2921690804,Prestige,19,One Year
Daniel P. W. Ellis,2947501160,Prestige,20,One Year
Jason Weston,2058584252,Prestige,21,One Year
Danqi Chen,2104844286,Prestige,22,One Year
Antoine Bordes,2160652726,Prestige,23,One Year
Adam Fisch,2492443013,Prestige,24,One Year
Li Deng,2101552792,Prestige,25,One Year
Xia Song,2559582735,Prestige,26,One Year
Rangan Majumder,2274851310,Prestige,27,One Year
Saurabh Tiwary,2642799031,Prestige,28,One Year
Deborah Estrin,2127250160,Prestige,29,One Year
Longqi Yang,2229171165,Prestige,30,One Year
Russell Power,2147949120,Prestige,31,One Year
Liqiang Nie,2151954441,Prestige,32,One Year
Jiawei Han,2121939561,Prestige,33,One Year
Jun Wang,2557836567,Prestige,34,One Year
Xiangnan He,2155461083,Prestige,35,One Year
Gerhard Weikum,514836396,Prestige,36,One Year
Jianfeng Gao,2104437897,Prestige,37,One Year
Daqing He,2669503914,Prestige,38,One Year
Philip S. Yu,2125104194,Prestige,39,One Year
Tat-Seng Chua,2160663097,Prestige,40,One Year
Lutz Bornmann,98572569,Prestige,41,One Year
Duc-Tien Dang-Nguyen,810341842,Prestige,42,One Year
Mark A. Musen,2169034151,Prestige,43,One Year
Chenyan Xiong,2226924701,Prestige,44,One Year
Hongfang Liu,2659824549,Prestige,45,One Year
W. Bruce Croft,2127889770,Prestige,46,One Year
Andrew Yates,2205106504,Prestige,47,One Year
Weinan Zhang,2527611484,Prestige,48,One Year
Feichen Shen,2110647614,Prestige,49,One Year
Luca Piras,1977634491,Prestige,50,One Year
Michael Riegler,2303139154,Prestige,51,One Year
Kai Hui,2569066490,Prestige,52,One Year
Klaus Berberich,2064029816,Prestige,53,One Year
Qingyao Ai,2223502885,Prestige,54,One Year
Mostafa Dehghani,2112331270,Prestige,55,One Year
Bhaskar Mitra,2229276239,Prestige,56,One Year
Dina Demner-Fushman,58165029,Prestige,57,One Year
Evgeny Kharlamov,2037532978,Prestige,58,One Year
Huan Liu,2122391114,Prestige,59,One Year
Nick Craswell,2009495402,Prestige,60,One Year
Jaap Kamps,2088944921,Prestige,61,One Year
Sijia Liu,2791909180,Prestige,62,One Year
Hamed Zamani,2143068131,Prestige,63,One Year
C. Lee Giles,2124749556,Prestige,64,One Year
ChengXiang Zhai,2152766206,Prestige,65,One Year
Henning Müller,2112196210,Prestige,66,One Year
Jamie Callan,2148123616,Prestige,67,One Year
Gerard de Melo,2134233121,Prestige,68,One Year
J. Stephen Downie,2127663156,Prestige,69,One Year
Jiafeng Guo,2581340266,Prestige,70,One Year
Yanshan Wang,2498160561,Prestige,71,One Year
Zhiyong Lu,2272133122,Prestige,72,One Year
Yongfeng Zhang,2169961027,Prestige,73,One Year
Maarten de Rijke,401833296,Prestige,74,One Year
Xueqi Cheng,2129598186,Prestige,75,One Year
Cathal Gurrin,2009834041,Prestige,76,One Year
Alistair Moffat,2155888323,Prestige,77,One Year
Mike Thelwall,40084183,Prestige,78,One Year
James Allan,2097030689,Prestige,79,One Year
Sören Auer,1994200327,Prestige,80,One Year
Jimmy J. Lin,2163619555,Prestige,81,One Year
Gianmaria Silvello,2084520735,Prestige,82,One Year
Leif Azzopardi,2163026013,Prestige,83,One Year
Hui Fang,2618399871,Prestige,84,One Year
Evangelos Kanoulas,1419676578,Prestige,85,One Year
Philipp Mayr,2063715536,Prestige,86,One Year
Nicola Ferro,2150237769,Prestige,87,One Year
Fabio Crestani,2303795236,Prestige,88,One Year
Gareth J. F. Jones,2253680186,Prestige,89,One Year
Yiqun Liu,2111097927,Prestige,90,One Year
Min Zhang,2526008467,Prestige,91,One Year
Adam Jatowt,13250842,Prestige,92,One Year
Shaoping Ma,2947593389,Prestige,93,One Year
Chirag Shah,2122808819,Prestige,94,One Year
Krisztian Balog,2100338238,Prestige,95,One Year
Iadh Ounis,336997814,Prestige,96,One Year
Craig Macdonald,2148910894,Prestige,97,One Year
Guido Zuccon,1551779932,Prestige,98,One Year
Wang Hairong,2595413063,Prestige,99,One Year
Zhang Guanjing,2835947069,Prestige,100,One Year
Arlene G. Taylor,2107505216,Citations*,1,One Year
Tat-Seng Chua,2160663097,Citations*,2,One Year
Manoj Plakal,171190246,Citations*,3,One Year
Liqiang Nie,2151954441,Citations*,4,One Year
Aren Jansen,2153492846,Citations*,5,One Year
R. Channing Moore,2411503862,Citations*,6,One Year
Dylan Freedman,2593176306,Citations*,7,One Year
Wade Lawrence,2594631384,Citations*,8,One Year
Marvin Ritter,2902078793,Citations*,9,One Year
Jort F. Gemmeke,2921690804,Citations*,10,One Year
Daniel P. W. Ellis,2947501160,Citations*,11,One Year
Xiangnan He,2155461083,Citations*,12,One Year
Jason Weston,2058584252,Citations*,13,One Year
Danqi Chen,2104844286,Citations*,14,One Year
Antoine Bordes,2160652726,Citations*,15,One Year
Adam Fisch,2492443013,Citations*,16,One Year
W. Bruce Croft,2127889770,Citations*,17,One Year
Jianfeng Gao,2104437897,Citations*,18,One Year
Yi Yang,2430169722,Citations*,19,One Year
Xiangyang Zhang,2612279073,Citations*,20,One Year
Tiejun Liu,2612442137,Citations*,21,One Year
Shuai Chen,2613382297,Citations*,22,One Year
Hamed Zamani,2143068131,Citations*,23,One Year
Maarten de Rijke,401833296,Citations*,24,One Year
Saurabh Tiwary,2642799031,Citations*,25,One Year
Xia Song,2559582735,Citations*,26,One Year
Chenyan Xiong,2226924701,Citations*,27,One Year
Li Deng,2101552792,Citations*,28,One Year
Suhas V. Vasaikar,1351075240,Citations*,29,One Year
Bing Zhang,2681103118,Citations*,30,One Year
Zhiao Shi,2160231357,Citations*,31,One Year
Jing Wang,2557514096,Citations*,32,One Year
Michael Greer,2611943361,Citations*,33,One Year
Rangan Majumder,2274851310,Citations*,34,One Year
Tri Nguyen,2303860781,Citations*,35,One Year
Mir Rosenberg,2557760238,Citations*,36,One Year
Yuliya Lobacheva,80071042,Citations*,37,One Year
Nina Zinovieva,2117953798,Citations*,38,One Year
Marie Meteer,2428397484,Citations*,39,One Year
Kyle D. Morton,2529207718,Citations*,40,One Year
Tom Wilde,2529321983,Citations*,41,One Year
Wei Liu,2182080890,Citations*,42,One Year
Mike Thelwall,40084183,Citations*,43,One Year
Hanwang Zhang,2141833608,Citations*,44,One Year
Jingyuan Chen,2535028075,Citations*,45,One Year
Zhigang Ma,2101061250,Citations*,46,One Year
Xiaojun Chang,2145609423,Citations*,47,One Year
Zhiqiang Zeng,2817515820,Citations*,48,One Year
Alexander G. Hauptmann,2918043267,Citations*,49,One Year
Weinan Zhang,2527611484,Citations*,50,One Year
Russell Power,2147949120,Citations*,51,One Year
Jamie Callan,2148123616,Citations*,52,One Year
Kevin W. Boyack,109906890,Citations*,53,One Year
Jun Wang,2557836567,Citations*,54,One Year
Syed Ali Jafar,2132264901,Citations*,55,One Year
Hua Sun,2292756324,Citations*,56,One Year
Rui Jin,2591900689,Citations*,57,One Year
Wenhan Bian,2592276363,Citations*,58,One Year
Lihong Li,2594426661,Citations*,59,One Year
Yangyang Li,2603032600,Citations*,60,One Year
Jizhou Huang,2635898744,Citations*,61,One Year
Kun Jing,2698290853,Citations*,62,One Year
Lu Wan,2722791030,Citations*,63,One Year
Margaret Mitchell,2122281325,Citations*,64,One Year
Peng Zhang,2670383678,Citations*,65,One Year
C. Lawrence Zitnick,363366491,Citations*,66,One Year
Dhruv Batra,2098683697,Citations*,67,One Year
Aishwarya Agrawal,2117267436,Citations*,68,One Year
Xingming Sun,2142656699,Citations*,69,One Year
Devi Parikh,2223275083,Citations*,70,One Year
Stanislaw Antol,2272768817,Citations*,71,One Year
Jiasen Lu,2288290430,Citations*,72,One Year
Benyou Wang,2231501501,Citations*,73,One Year
