Name,Entity Id,Rank type,Rank value,Time span
Yoshua Bengio,161269817,Saliency,1,One Year
Ross B. Girshick,2473549963,Saliency,2,One Year
Sergey Levine,2140030024,Saliency,3,One Year
Kaiming He,2164292938,Saliency,4,One Year
Trevor Darrell,2174985400,Saliency,5,One Year
Pieter Abbeel,243981275,Saliency,6,One Year
Aaron C. Courville,2328522601,Saliency,7,One Year
Alexei A. Efros,2088536091,Saliency,8,One Year
Quoc V. Le,2148448995,Saliency,9,One Year
Piotr Dollár,1944499404,Saliency,10,One Year
Jun-Yan Zhu,2112232458,Saliency,11,One Year
Philip S. Yu,2125104194,Saliency,12,One Year
Laurens van der Maaten,731054299,Saliency,13,One Year
Kilian Q. Weinberger,2003907699,Saliency,14,One Year
Samy Bengio,2016539005,Saliency,15,One Year
Phillip Isola,2077136294,Saliency,16,One Year
Gao Huang,2114281204,Saliency,17,One Year
Ian J. Goodfellow,1822555116,Saliency,18,One Year
Dacheng Tao,2104129307,Saliency,19,One Year
Ali Farhadi,1988090614,Saliency,20,One Year
Zhuang Liu,2566736780,Saliency,21,One Year
Xuelong Li,2107070739,Saliency,22,One Year
Alex Kendall,2110605639,Saliency,23,One Year
Xiaogang Wang,2227253382,Saliency,24,One Year
Li Fei-Fei,1984838606,Saliency,25,One Year
Roberto Cipolla,2117656881,Saliency,26,One Year
Andrew Zisserman,2469405535,Saliency,27,One Year
Bernhard Schölkopf,297432538,Saliency,28,One Year
Witold Pedrycz,136859070,Saliency,29,One Year
Martín Arjovsky,2722772483,Saliency,30,One Year
Luc Van Gool,2103920730,Saliency,31,One Year
Hartwig Adam,2107777167,Saliency,32,One Year
Lukasz Kaiser,2156752876,Saliency,33,One Year
Tinghui Zhou,2120864060,Saliency,34,One Year
Shuicheng Yan,2144833106,Saliency,35,One Year
Yi Yang,2430169722,Saliency,36,One Year
Serge J. Belongie,305618809,Saliency,37,One Year
Vijay Badrinarayanan,2070256948,Saliency,38,One Year
Nicholas Carlini,1606335232,Saliency,39,One Year
Noam Shazeer,2496873187,Saliency,40,One Year
Yann LeCun,2053214915,Saliency,41,One Year
Alan L. Yuille,2065104188,Saliency,42,One Year
Andrew Howard,2612173839,Saliency,43,One Year
Richard Socher,1964982643,Saliency,44,One Year
Jiashi Feng,2170351238,Saliency,45,One Year
Song Han,2233699872,Saliency,46,One Year
Joseph Redmon,2392241600,Saliency,47,One Year
Leonidas J. Guibas,356043702,Saliency,48,One Year
Jitendra Malik,2136556746,Saliency,49,One Year
Ruslan Salakhutdinov,2031945151,Saliency,50,One Year
Menglong Zhu,2924319930,Saliency,51,One Year
David A. Wagner,2109123731,Saliency,52,One Year
Ashish Vaswani,2171687631,Saliency,53,One Year
Jakob Uszkoreit,2226984371,Saliency,54,One Year
Dawn Song,2131252044,Saliency,55,One Year
Philip H. S. Torr,2107932047,Saliency,56,One Year
Aidan N. Gomez,2626656444,Saliency,57,One Year
Vincent Dumoulin,2101090258,Saliency,58,One Year
Max Welling,2014508897,Saliency,59,One Year
Kurt Keutzer,2003317548,Saliency,60,One Year
Bernt Schiele,1620943014,Saliency,61,One Year
Alexey Kurakin,2690115378,Saliency,62,One Year
Francisco Herrera,2141382980,Saliency,63,One Year
Bo Chen,2947290959,Saliency,64,One Year
Niki Parmar,2625834147,Saliency,65,One Year
Jure Leskovec,1878631932,Saliency,66,One Year
William J. Dally,2037541505,Saliency,67,One Year
Lucas Theis,2224929196,Saliency,68,One Year
