Name,Entity Id,Rank type,Rank value,Time span
Luke S. Zettlemoyer,334758317,Saliency,1,One Year
Kenton Lee,2552119883,Saliency,2,One Year
Richard Socher,1964982643,Saliency,3,One Year
Edouard Grave,2114720862,Saliency,4,One Year
Armand Joulin,2512114774,Saliency,5,One Year
Piotr Bojanowski,1882694979,Saliency,6,One Year
Caiming Xiong,2095665791,Saliency,7,One Year
Tomas Mikolov,292626543,Saliency,8,One Year
Quoc V. Le,2148448995,Saliency,9,One Year
Jianfeng Gao,2104437897,Saliency,10,One Year
Antoine Bordes,2160652726,Saliency,11,One Year
Christopher D. Manning,2149153931,Saliency,12,One Year
Matthew E. Peters,2502758396,Saliency,13,One Year
Graham Neubig,277131583,Saliency,14,One Year
Kyunghyun Cho,2462121670,Saliency,15,One Year
Yoshua Bengio,161269817,Saliency,16,One Year
Mohit Iyyer,2068391019,Saliency,17,One Year
Ruslan Salakhutdinov,2031945151,Saliency,18,One Year
Samuel R. Bowman,1967404238,Saliency,19,One Year
Erik Cambria,2806062742,Saliency,20,One Year
Ming Zhou,2143584880,Saliency,21,One Year
James R. Glass,2154846939,Saliency,22,One Year
Mark Neumann,2723434371,Saliency,23,One Year
Percy Liang,2171686691,Saliency,24,One Year
Kristina Toutanova,1997665198,Saliency,25,One Year
Ming-Wei Chang,2142444093,Saliency,26,One Year
Noah A. Smith,2250998000,Saliency,27,One Year
Alexander M. Rush,2701382563,Saliency,28,One Year
Daniel Jurafsky,2089131864,Saliency,29,One Year
Yejin Choi,2133417374,Saliency,30,One Year
Alexis Conneau,2555471392,Saliency,31,One Year
Dan Roth,2122007671,Saliency,32,One Year
Douwe Kiela,302325417,Saliency,33,One Year
Jacob Devlin,2153797812,Saliency,34,One Year
Yonghui Wu,2941718543,Saliency,35,One Year
William W. Cohen,2115385359,Saliency,36,One Year
Matt Gardner,2785669479,Saliency,37,One Year
Christopher G. Clark,2568940999,Saliency,38,One Year
Steve J. Young,2125228453,Saliency,39,One Year
Iryna Gurevych,40109512,Saliency,40,One Year
Zhifeng Chen,2922418434,Saliency,41,One Year
Phil Blunsom,297118547,Saliency,42,One Year
Hannaneh Hajishirzi,91410043,Saliency,43,One Year
Andrew McCallum,2131293038,Saliency,44,One Year
Stefan Ultes,328023843,Saliency,45,One Year
Soujanya Poria,1992239148,Saliency,46,One Year
Yonatan Belinkov,2279044859,Saliency,47,One Year
Tsung-Hsien Wen,2292847895,Saliency,48,One Year
Jason Weston,2945754415,Saliency,49,One Year
Rico Sennrich,93200637,Saliency,50,One Year
Li Deng,2101552792,Saliency,51,One Year
Milica Gasic,2086998216,Saliency,52,One Year
Yoon Kim,2516971438,Saliency,53,One Year
Zhilin Yang,2489788272,Saliency,54,One Year
Philipp Koehn,2647056301,Saliency,55,One Year
Nikola Mrksic,786933160,Saliency,56,One Year
Benjamin Van Durme,2113965177,Saliency,57,One Year
Bhuwan Dhingra,2359800348,Saliency,58,One Year
Chris Dyer,2119216958,Saliency,59,One Year
Shervin Malmasi,2070717499,Saliency,60,One Year
Hinrich Schütze,2035156685,Saliency,61,One Year
Preslav Nakov,1989325080,Saliency,62,One Year
Mirella Lapata,2019867208,Saliency,63,One Year
Omer Levy,2250897584,Saliency,64,One Year
Min Joon Seo,2252216270,Saliency,65,One Year
Ivan Vulić,2028299656,Saliency,66,One Year
Yoav Goldberg,2144962531,Saliency,67,One Year
Samy Bengio,2016539005,Saliency,68,One Year
Ali Farhadi,1988090614,Saliency,69,One Year
Loïc Barrault,2153569893,Saliency,70,One Year
Peter J. Liu,2551433269,Saliency,71,One Year
Ryan Cotterell,2148165152,Saliency,72,One Year
Stephen Merity,634414727,Saliency,73,One Year
Lyle H. Ungar,2147282416,Saliency,74,One Year
Gerhard Weikum,514836396,Saliency,75,One Year
Eunsol Choi,2251481576,Saliency,76,One Year
James Bradbury,2340655586,Saliency,77,One Year
Anders Søgaard,2100615786,Saliency,78,One Year
Brenden M. Lake,1987690699,Saliency,79,One Year
Holger Schwenk,2160549261,Saliency,80,One Year
David Grangier,1261192326,Saliency,81,One Year
Jing Jiang,2286546702,Saliency,82,One Year
Eric P. Xing,351197510,Saliency,83,One Year
Wen-tau Yih,2116578203,Saliency,84,One Year
Dhruv Batra,2098683697,Saliency,85,One Year
Yann N. Dauphin,1973263502,Saliency,86,One Year
Shuohang Wang,2200892348,Saliency,87,One Year
Andreas Stolcke,684032073,Saliency,88,One Year
Barry Haddow,2179150568,Saliency,89,One Year
Kevin Duh,2046721439,Saliency,90,One Year
Lucia Specia,321534654,Saliency,91,One Year
Pei-Hao Su,2132749639,Saliency,92,One Year
Michael Auli,2139710560,Saliency,93,One Year
Devi Parikh,2223275083,Saliency,94,One Year
Jiwei Li,2294693014,Saliency,95,One Year
Yun-Nung Chen,2169233553,Saliency,96,One Year
Jean Senellart,280727668,Saliency,97,One Year
Timothy Baldwin,2436269535,Saliency,98,One Year
Angela Fan,2722765719,Saliency,99,One Year
Maosong Sun,2157167650,Saliency,100,One Year
Christopher G. Clark,2568940999,Prestige,1,One Year
Matt Gardner,2785669479,Prestige,2,One Year
Tomas Mikolov,292626543,Prestige,3,One Year
Ming-Wei Chang,2142444093,Prestige,4,One Year
Piotr Bojanowski,1882694979,Prestige,5,One Year
Samy Bengio,2016539005,Prestige,6,One Year
Kenton Lee,2552119883,Prestige,7,One Year
Stephen Merity,634414727,Prestige,8,One Year
Jacob Devlin,2153797812,Prestige,9,One Year
Armand Joulin,2512114774,Prestige,10,One Year
Yoon Kim,2516971438,Prestige,11,One Year
Yann N. Dauphin,1973263502,Prestige,12,One Year
Zhifeng Chen,2922418434,Prestige,13,One Year
Edouard Grave,2114720862,Prestige,14,One Year
Mark Neumann,2723434371,Prestige,15,One Year
Kristina Toutanova,1997665198,Prestige,16,One Year
Matthew E. Peters,2502758396,Prestige,17,One Year
Yonghui Wu,2941718543,Prestige,18,One Year
Mohit Iyyer,2068391019,Prestige,19,One Year
