Name,Entity Id,Rank type,Rank value,Time span
CVPR,1158167855,Saliency,1,One Year
ICLR,2584161585,Saliency,2,One Year
ICML,1180662882,Saliency,3,One Year
NeurIPS,1127325140,Saliency,4,One Year
ICASSP,1121227772,Saliency,5,One Year
ICCV,1164975091,Saliency,6,One Year
AAAI,1184914352,Saliency,7,One Year
IJCNN,1140449422,Saliency,8,One Year
ECCV,1124077590,Saliency,9,One Year
ICRA,1163902177,Saliency,10,One Year
SMC,1170695740,Saliency,11,One Year
WWW,1135342153,Saliency,12,One Year
SOCO,1123077274,Saliency,13,One Year
EMNLP,1192655580,Saliency,14,One Year
INTERSPEECH,1177287137,Saliency,15,One Year
ACL,1188739475,Saliency,16,One Year
S&P,1163618098,Saliency,17,One Year
IJCAI,1203999783,Saliency,18,One Year
IROS,1143279144,Saliency,19,One Year
WACV,1149655676,Saliency,20,One Year
ISCA,1131341566,Saliency,21,One Year
ICIP,1163163559,Saliency,22,One Year
KDD,1130985203,Saliency,23,One Year
ISCAS,1192710900,Saliency,24,One Year
CCS,1198471430,Saliency,25,One Year
MICCAI,1129324708,Saliency,26,One Year
SIGIR,1140684652,Saliency,27,One Year
DAC,1187904452,Saliency,28,One Year
ICONIP,1183580825,Saliency,29,One Year
CCC,2623792093,Saliency,30,One Year
Big Data,2623113034,Saliency,31,One Year
ISSCC,1183230087,Saliency,32,One Year
EACL,1188587990,Saliency,33,One Year
AISTATS,2622962978,Saliency,34,One Year
FPGA,1136755600,Saliency,35,One Year
ISBI,1187587159,Saliency,36,One Year
DATE,1178330879,Saliency,37,One Year
EMBC,2232857946,Saliency,38,One Year
ICPR,1131605622,Saliency,39,One Year
SSCI,2756343272,Saliency,40,One Year
NAACL,1173951661,Saliency,41,One Year
ICDM,1183478919,Saliency,42,One Year
MM,1135237122,Saliency,43,One Year
CIKM,1194094125,Saliency,44,One Year
ICANN,1158833223,Saliency,45,One Year
IGARSS,1195013065,Saliency,46,One Year
IV,2756192179,Saliency,47,One Year
ICC,1130451194,Saliency,48,One Year
CCDC,2624597182,Saliency,49,One Year
EUSIPCO,2756071452,Saliency,50,One Year
ICMLA,1138691947,Saliency,51,One Year
ACC,1190039108,Saliency,52,One Year
APSIPA,2754583030,Saliency,53,One Year
OFC,2621451516,Saliency,54,One Year
WSDM,1120384002,Saliency,55,One Year
ASP-DAC,1137823534,Saliency,56,One Year
CLEO,2623670637,Saliency,57,One Year
ASILOMAR,2623229432,Saliency,58,One Year
SIU,2735422400,Saliency,59,One Year
ICCAD,1128132410,Saliency,60,One Year
EIConRus,2754885367,Saliency,61,One Year
CAC,2755940150,Saliency,62,One Year
GECCO,1140000399,Saliency,63,One Year
ICME,1126322613,Saliency,64,One Year
ITSC,2623670486,Saliency,65,One Year
CAV,1162450063,Saliency,66,One Year
BIBM,1156210184,Saliency,67,One Year
AAMAS,1168671587,Saliency,68,One Year
BMVC,1198654179,Saliency,69,One Year
SLT,1196016004,Saliency,70,One Year
SIGGRAPH,1164321581,Saliency,71,One Year
GlobalSIP,2755685038,Saliency,72,One Year
SPAWC,2623057608,Saliency,73,One Year
ICAI,2755283090,Saliency,74,One Year
ICInPro,2898215259,Saliency,75,One Year
ICSE,1174403976,Saliency,76,One Year
ASPLOS,1174091362,Saliency,77,One Year
3DV,2754869338,Saliency,78,One Year
ICDAR,1150099070,Saliency,79,One Year
COLT,1177622950,Saliency,80,One Year
ICCE,2622029738,Saliency,81,One Year
ISNN,1161424158,Saliency,82,One Year
GLOBECOM,1131420910,Saliency,83,One Year
UAI,1204606053,Saliency,84,One Year
SiPS,1190659448,Saliency,85,One Year
ICSP,2622739841,Saliency,86,One Year
NDSS,1180274659,Saliency,87,One Year
GLSVLSI,1128953550,Saliency,88,One Year
CHI,1163450153,Saliency,89,One Year
FPL,1191474766,Saliency,90,One Year
CI,1120693805,Saliency,91,One Year
MICRO,1150919317,Saliency,92,One Year
RecSys,1134284382,Saliency,93,One Year
CLOUD,1137657189,Saliency,94,One Year
