Name,Entity Id,Rank type,Rank value,Time span
SIGIR,1140684652,Saliency,1,One Year
CIKM,1194094125,Saliency,2,One Year
WSDM,1120384002,Saliency,3,One Year
ECIR,1180513217,Saliency,4,One Year
CHIIR,2626279626,Saliency,5,One Year
ASIST,2537396833,Saliency,6,One Year
WWW,1135342153,Saliency,7,One Year
ACL,1188739475,Saliency,8,One Year
JCDL,1169258207,Saliency,9,One Year
CLEF,1156586875,Saliency,10,One Year
ESWC,1180003657,Saliency,11,One Year
WI,1200067787,Saliency,12,One Year
TREC,2534788800,Saliency,13,One Year
SIGMOD,1175089206,Saliency,14,One Year
EMNLP,1192655580,Saliency,15,One Year
Big Data,2623113034,Saliency,16,One Year
AAAI,1184914352,Saliency,17,One Year
ICASSP,1121227772,Saliency,18,One Year
DocEng,1187420394,Saliency,19,One Year
VLDB,1133523790,Saliency,20,One Year
GIScience,1160834642,Saliency,21,One Year
RecSys,1134284382,Saliency,22,One Year
ICTIR,2756630716,Saliency,23,One Year
K-CAP,1166500626,Saliency,24,One Year
IJCAI,1203999783,Saliency,25,One Year
ICDE,1163988186,Saliency,26,One Year
NeurIPS,1127325140,Saliency,27,One Year
ISWC,1155608529,Saliency,28,One Year
EDBT,1132593990,Saliency,29,One Year
ICDKE,1168542559,Saliency,30,One Year
MM,1135237122,Saliency,31,One Year
SAC,2754781246,Saliency,32,One Year
CVPR,1158167855,Saliency,33,One Year
MTSR,1121935577,Saliency,34,One Year
ICDAR,1150099070,Saliency,35,One Year
SOCO,1123077274,Saliency,36,One Year
CHI,1163450153,Saliency,37,One Year
ICSE,1174403976,Saliency,38,One Year
MMM,1123621769,Saliency,39,One Year
IUI,1170221290,Saliency,40,One Year
DASFAA,1184699546,Saliency,41,One Year
ICADL,1204638610,Saliency,42,One Year
NAACL,1173951661,Saliency,43,One Year
IRCDL,1168262657,Saliency,44,One Year
TPDL,2898296047,Saliency,45,One Year
Resource Track - ICSC,2898613818,Saliency,46,One Year
ADCS,1147924868,Saliency,47,One Year
I-SEMANTICS,2625637742,Saliency,48,One Year
ICDM,1183478919,Saliency,49,One Year
ECCV,1124077590,Saliency,50,One Year
LREC,1164963593,Saliency,51,One Year
EACL,1188587990,Saliency,52,One Year
WIMS,2626590601,Saliency,53,One Year
UMAP,2754031194,Saliency,54,One Year
ISM,1188521074,Saliency,55,One Year
SAC,2753968298,Saliency,56,One Year
AIRS,1182750626,Saliency,57,One Year
ICMR,1159717609,Saliency,58,One Year
BigMM,2754030025,Saliency,59,One Year
IIS,1140961231,Saliency,60,One Year
KDD,1130985203,Saliency,61,One Year
AKBC,2942832808,Saliency,62,One Year
ISMIR,1144674403,Saliency,63,One Year
ICCV,1164975091,Saliency,64,One Year
ISTC,2755702938,Saliency,65,One Year
MMSys,2250491939,Saliency,66,One Year
Hypertext,2532863000,Saliency,67,One Year
INFOCOM,1143723981,Saliency,68,One Year
SMC,1170695740,Saliency,69,One Year
IOT,1168863100,Saliency,70,One Year
CLOUD,1137657189,Saliency,71,One Year
SISAP,1187155619,Saliency,72,One Year
CloudCom,1159170270,Saliency,73,One Year
ICAI,2755283090,Saliency,74,One Year
ICDSM,2898495809,Saliency,75,One Year
CIDR,1201561728,Saliency,76,One Year
HICSS,1164519180,Saliency,77,One Year
DAS,1154283601,Saliency,78,One Year
AJIM,2754050703,Saliency,79,One Year
ICWE,1186729694,Saliency,80,One Year
WebSci,2626098776,Saliency,81,One Year
UNLPBEA,2759993800,Saliency,82,One Year
BigComp,2756267278,Saliency,83,One Year
BIOINFORMATICS,1199066382,Saliency,84,One Year
ASE,1166511975,Saliency,85,One Year
GIR,1204605585,Saliency,86,One Year
ICIP,1163163559,Saliency,87,One Year
ICDIM,1131237840,Saliency,88,One Year
ICEIS,1151763769,Saliency,89,One Year
DCMA,2755825106,Saliency,90,One Year
WACV,1149655676,Saliency,91,One Year
BIBM,1156210184,Saliency,92,One Year
SANER,2754456056,Saliency,93,One Year
DEXA,1192664773,Saliency,94,One Year
DSS,1182309694,Saliency,95,One Year
PAKDD,1178327129,Saliency,96,One Year
AMIA,2757487807,Saliency,97,One Year
EDBT-ICDT,2754836383,Saliency,98,One Year
BTAS,2624464780,Saliency,99,One Year
EMBC,2232857946,Saliency,100,One Year
NeurIPS,1127325140,Prestige,1,One Year
BTAS,2624464780,Prestige,2,One Year
ICASSP,1121227772,Prestige,3,One Year
ICCV,1164975091,Prestige,4,One Year
MMSys,2250491939,Prestige,5,One Year
ACL,1188739475,Prestige,6,One Year
IJCAI,1203999783,Prestige,7,One Year
CVPR,1158167855,Prestige,8,One Year
