Name,Entity Id,Rank type,Rank value,Time span
CVPR,1158167855,Saliency,1,One Year
ICLR,2584161585,Saliency,2,One Year
NeurIPS,1127325140,Saliency,3,One Year
AAAI,1184914352,Saliency,4,One Year
ICML,1180662882,Saliency,5,One Year
ICCV,1164975091,Saliency,6,One Year
IJCAI,1203999783,Saliency,7,One Year
ACL,1188739475,Saliency,8,One Year
EMNLP,1192655580,Saliency,9,One Year
SOCO,1123077274,Saliency,10,One Year
ECCV,1124077590,Saliency,11,One Year
ICASSP,1121227772,Saliency,12,One Year
IJCNN,1140449422,Saliency,13,One Year
SMC,1170695740,Saliency,14,One Year
NAACL,1173951661,Saliency,15,One Year
KDD,1130985203,Saliency,16,One Year
ICRA,1163902177,Saliency,17,One Year
WWW,1135342153,Saliency,18,One Year
Big Data,2623113034,Saliency,19,One Year
AAMAS,1168671587,Saliency,20,One Year
AISTATS,2622962978,Saliency,21,One Year
ICDM,1183478919,Saliency,22,One Year
GECCO,1140000399,Saliency,23,One Year
BIBM,1156210184,Saliency,24,One Year
EACL,1188587990,Saliency,25,One Year
CEC,1200052134,Saliency,26,One Year
WACV,1149655676,Saliency,27,One Year
INTERSPEECH,1177287137,Saliency,28,One Year
ICONIP,1183580825,Saliency,29,One Year
MICCAI,1129324708,Saliency,30,One Year
BMVC,1198654179,Saliency,31,One Year
MM,1135237122,Saliency,32,One Year
BIOINFORMATICS,1199066382,Saliency,33,One Year
WSDM,1120384002,Saliency,34,One Year
SIGIR,1140684652,Saliency,35,One Year
UAI,1204606053,Saliency,36,One Year
FUZZ-IEEE,2606228224,Saliency,37,One Year
S&P,1163618098,Saliency,38,One Year
CIKM,1194094125,Saliency,39,One Year
PAKDD,1178327129,Saliency,40,One Year
SDM,1142743330,Saliency,41,One Year
IROS,1143279144,Saliency,42,One Year
CI,1120693805,Saliency,43,One Year
FUSION,2623423368,Saliency,44,One Year
ICMLA,1138691947,Saliency,45,One Year
RSS,2606075370,Saliency,46,One Year
ICIP,1163163559,Saliency,47,One Year
EDM,1193731136,Saliency,48,One Year
ICIC,1134271186,Saliency,49,One Year
RecSys,1134284382,Saliency,50,One Year
IV,2756192179,Saliency,51,One Year
FG,2755241531,Saliency,52,One Year
ICANN,1158833223,Saliency,53,One Year
EMBC,2232857946,Saliency,54,One Year
ISBI,1187587159,Saliency,55,One Year
ICTAI,1153494057,Saliency,56,One Year
EUSIPCO,2756071452,Saliency,57,One Year
CCS,1198471430,Saliency,58,One Year
ICME,1126322613,Saliency,59,One Year
COLT,1177622950,Saliency,60,One Year
ICNC,2622723275,Saliency,61,One Year
ASONAM,1194409624,Saliency,62,One Year
ACC,1190039108,Saliency,63,One Year
CIG,1155638383,Saliency,64,One Year
AIED,1172379331,Saliency,65,One Year
CHI,1163450153,Saliency,66,One Year
ICMR,1159717609,Saliency,67,One Year
SIGMOD,1175089206,Saliency,68,One Year
CSSE,1151131449,Saliency,69,One Year
NER,2735158333,Saliency,70,One Year
AmI,1197908299,Saliency,71,One Year
3DV,2754869338,Saliency,72,One Year
ICAART,1200979010,Saliency,73,One Year
IDA,1201250571,Saliency,74,One Year
ICDE,1163988186,Saliency,75,One Year
GrC,1160783667,Saliency,76,One Year
ITSC,2623670486,Saliency,77,One Year
ICC,1130451194,Saliency,78,One Year
ICInPro,2898215259,Saliency,79,One Year
ESANN,1126616278,Saliency,80,One Year
ISCAS,1192710900,Saliency,81,One Year
ICAISC,1176895911,Saliency,82,One Year
EC,2537263150,Saliency,83,One Year
SSCI,2756343272,Saliency,84,One Year
CoNLL,2724687765,Saliency,85,One Year
ISMIR,1144674403,Saliency,86,One Year
MLSP,2624449468,Saliency,87,One Year
IJCNLP,1126706392,Saliency,88,One Year
ICPR,1131605622,Saliency,89,One Year
BIOSTEC,1151509452,Saliency,90,One Year
CCC,2623792093,Saliency,91,One Year
ECML,2755314191,Saliency,92,One Year
ACIIDS,1123338449,Saliency,93,One Year
FedCSIS,1185931494,Saliency,94,One Year
VLDB,1133523790,Saliency,95,One Year
