"#","Name","Score"
"1","IEEE Transactions on Consumer Electronics","1.000"
"2","IEEE International Conference on Image Processing (ICIP)","0.750"
"3","ACM International Conference on Multimedia (MM)","0.615"
"4","nan","0.590"
"5","Computer Vision and Pattern Recognition (CVPR)","0.455"
"6","Conference on Pattern Recognition (ICPR)","0.408"
"7","IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)","0.367"
"8","IEEE Transactions on Image Processing","0.326"
"9","IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI)","0.295"
"10","IEEE Transactions on Multimedia (TMM)","0.231"
"11","Pattern Recognition","0.204"
"12","IEEE International Conference on Computer Vision (ICCV)","0.191"
"13","ACM International Conference on Image and Video Retrieval (CIVR)","0.164"
"14","Computer Vision and Image Understanding","0.141"
"15","Pattern Recognition Letters","0.140"
"16","Multimedia Retrieval / Multimedia Information Retrieval","0.126"
"17","Journal of Electronic Imaging","0.110"
"18","European Conference on Computer Vision (ECCV)","0.108"
"19","IEEE Transactions on Circuits and Systems for Video Technology","0.103"
"20","IEEE International Conference on Automatic Face and Gesture Recognition","0.102"
"21","Pacific Rim Conference on Multimedia (PCM)","0.094"
"22","Graphical Models","0.081"
"23","Journal of Computer Vision","0.075"
"24","Image and Vision Computing","0.072"
"25","IEEE International Workshop on Multimedia Signal Processing (MMSP)","0.069"
"26","Conference on Multimedia Modeling (MMM)","0.069"
"27","Asian Conference on Computer Vision (ACCV)","0.068"
"28","Conference on Multimodal Interaction (ICMI)","0.063"
"29","Digital Photography","0.062"
"30","Multimedia Tools and Applications","0.056"
"31","IEEE International Symposium on Circuits and Systems (ISCAS)","0.054"
"32","IEEE Transactions on Systems, Man, and Cybernetics: Systems","0.052"
"33","Conference on Internet Multimedia Computing and Service (ICIMCS)","0.052"
"34","Journal of Visual Communication and Image Representation","0.051"
"35","Neurocomputing","0.046"
"36","IEEE MultiMedia","0.044"
"37","Information Sciences","0.044"
"38","Multimedia Systems","0.043"
"39","Storage and Retrieval Methods and Applications for Multimedia","0.043"
"40","Conference of the International Speech Communication Association (INTERSPEECH)","0.041"
"41","IEEE Transactions on Signal Processing","0.038"
"42","ACM Transactions on Multimedia Computing, Communications, and Applications (TOMCCAP)","0.038"
"43","Journal of Imaging Systems and Technology","0.036"
"44","Conference on Image Analysis and Processing (ICIAP)","0.036"
"45","Cross-Language Evaluation Forum Workshop (CLEF)","0.035"
"46","IEEE Workshop/Winter Conference on Applications of Computer Vision (WACV)","0.034"
"47","IEEE International Conference on Data Mining (ICDM)","0.033"
"48","IEEE Transactions on Neural Networks and Learning Systems","0.032"
"49","British Machine Vision Conference (BMVC)","0.032"
"50","AAAI Conference on Artificial Intelligence (AAAI)","0.031"
"51","Conference on Visual Information and Information Systems (VISUAL)","0.029"
"52","IEEE Transactions on Information Forensics and Security","0.028"
"53","EURASIP Journal on Advances in Signal Processing","0.027"
"54","IEEE Signal Processing Letters","0.026"
"55","Multimedia Content Analysis and Mining (MCAM)","0.024"
"56","Signal Processing: Image Communication","0.024"
"57","ACM Transactions on Intelligent Systems and Technology (TIST)","0.022"
"58","Classification of Events, Activities and Relationships (CLEAR)","0.022"
"59","Southwest Symposium on Image Analysis and Interpretation (SSIAI)","0.022"
"60","Joint Conference on Artificial Intelligence (IJCAI)","0.021"
"61","Machine Vision and Applications","0.020"
"62","Affective Computing and Intelligent Interaction (ACII)","0.020"
"63","IEEE Transactions on Information Theory","0.020"
"64","Proceedings of the IEEE","0.020"
"65","Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI)","0.019"
"66","World Wide Web Conferences (WWW)","0.019"
"67","Information and Computation","0.018"
"68","Workshop on Multiple Classifier Systems (MCS)","0.017"
"69","IEEE Transactions on Computers","0.017"
"70","IEEE International Conference on Systems, Man and Cybernetics (SMC)","0.016"
"70","Journal of Multimedia Information Retrieval (IJMIR)","0.016"
"72","Signal Processing","0.016"
"73","European Signal Processing Conference (EUSIPCO)","0.016"
"73","Ubiquitous Computing (UbiComp)","0.016"
"73","IEEE International Conference on Social Computing (SocialCom)","0.016"
"73","Journal of Ambient Intelligence and Smart Environments","0.016"
"77","Visual Communications and Image Processing (VCIP)","0.016"
