column 1,column 2
1,7
2,3
3,35
4,5
5,8
6,9
7,14
8,26
9,21
10,24
11,17
12,28
13,1
14,37
15,32
16,22
17,38
18,81
19,18
20,15
21,50
22,10
23,34
24,48
25,42
26,20
27,16
28,140
29,30
30,77
31,13
32,25
33,44
34,80
35,12
36,108
37,84
38,43
39,52
40,66
41,4
42,55
43,65
44,39
45,41
46,70
47,56
48,49
49,185
50,82
51,91
52,72
53,54
54,79
55,46
56,61
57,87
58,120
59,73
60,83
61,241
62,47
63,57
64,23
65,147
66,62
67,144
68,126
69,94
70,102
71,167
72,76
73,139
74,124
75,132
76,131
77,150
78,135
79,51
80,143
81,68
82,119
83,78
84,69
85,99
86,98
87,153
88,171
89,75
90,33
91,169
92,88
93,151
94,123
95,90
96,60
97,323
98,213
99,235
100,222
101,155
102,137
103,186
104,19
105,85
106,152
107,145
108,208
109,96
110,104
111,202
112,174
113,178
114,115
115,64
116,183
117,201
118,128
119,160
120,95
121,168
122,134
123,162
124,121
125,101
126,724
127,116
128,225
129,175
130,110
131,163
132,689
133,180
134,204
135,106
136,112
137,257
138,148
139,260
140,111
141,105
142,227
143,232
144,138
145,86
146,141
147,242
148,176
149,107
150,109
151,278
152,563
153,53
154,113
155,146
156,214
157,271
158,199
159,164
160,212
161,512
162,757
163,188
164,283
165,192
166,259
167,89
168,36
169,197
170,217
171,195
172,295
173,311
174,281
175,117
176,136
177,228
178,309
179,179
180,209
181,184
182,203
183,133
184,361
185,158
186,363
187,282
188,318
189,333
190,118
191,190
192,216
193,413
194,265
195,198
196,402
197,193
198,330
199,276
200,239
201,246
202,194
203,592
204,165
205,275
206,372
207,215
208,287
209,325
210,486
211,328
212,224
213,220
214,252
215,427
216,522
217,303
218,177
219,92
220,574
221,187
222,294
223,245
224,236
225,250
226,356
227,346
228,67
229,280
230,159
231,230
232,348
233,426
234,369
235,266
236,129
237,385
238,338
239,399
240,770
241,127
242,191
243,255
244,243
245,170
246,336
247,248
248,234
249,238
250,223
251,173
252,375
253,258
254,312
255,292
256,247
257,397
258,300
259,331
260,342
261,273
262,403
263,251
264,428
265,269
266,446
267,240
268,262
269,206
270,417
271,412
272,40
273,349
274,430
275,229
276,149
277,350
278,253
279,11
280,210
281,387
282,100
283,329
284,327
285,370
286,656
287,142
288,263
289,497
290,460
291,341
292,712
293,161
294,414
295,373
296,316
297,351
298,722
299,377
300,362
301,383
302,355
303,304
304,264
305,27
306,315
307,752
308,296
309,244
310,499
311,517
312,382
313,534
314,442
315,448
316,381
317,410
318,268
319,157
320,286
321,473
322,467
323,500
324,451
325,431
326,359
327,462
328,339
329,406
330,354
331,404
332,200
333,261
334,289
335,58
336,293
337,218
338,290
339,505
340,364
341,533
342,307
343,320
344,332
345,411
346,626
347,172
348,409
349,284
350,314
351,390
352,785
353,494
354,237
355,510
356,340
357,305
358,508
359,437
360,389
361,378
362,793
363,299
364,302
365,461
366,472
367,288
368,470
369,376
370,415
371,434
372,716
373,301
374,551
375,319
376,59
377,371
378,368
379,498
380,347
381,474
382,436
383,326
384,285
385,560
386,516
387,395
388,491
389,435
390,433
391,468
392,483
393,456
394,444
395,432
396,441
397,420
398,344
399,443
400,569
401,317
402,392
403,481
404,543
405,457
406,477
407,154
408,267
409,530
410,469
411,400
412,419
413,463
414,453
415,394
416,279
417,365
418,337
419,211
420,439
421,416
422,567
423,524
424,513
425,492
426,405
427,422
428,450
429,537
430,544
431,465
432,594
433,478
434,438
435,585
436,697
437,407
438,272
439,335
440,526
441,531
442,345
443,489
444,529
445,571
446,321
447,393
448,578
449,503
450,226
451,613
452,565
453,532
454,297
455,324
456,493
457,479
458,542
459,521
460,767
461,418
462,548
463,310
464,459
465,539
466,480
467,424
468,445
469,507
470,455
471,490
472,515
473,322
474,554
475,386
476,2
477,366
478,360
479,781
480,408
481,518
482,566
483,367
484,482
485,514
486,632
487,464
488,559
489,577
490,589
491,502
492,603
493,357
494,398
495,205
496,449
497,471
498,536
499,452
500,233
501,535
502,558
503,617
504,622
505,552
506,638
507,525
508,550
509,487
510,673
511,623
512,496
513,207
514,291
515,527
516,609
517,556
518,388
519,627
520,555
521,561
522,547
523,501
524,391
525,681
526,549
527,540
528,590
529,564
530,652
531,606
532,352
533,570
534,782
535,254
536,274
537,637
538,573
539,31
540,682
541,720
542,353
543,379
544,642
545,421
546,741
547,196
548,629
549,644
550,612
551,699
552,6
553,581
554,519
555,593
556,429
557,636
558,618
559,776
560,583
561,735
562,466
563,71
564,166
565,619
566,649
567,156
568,704
569,608
570,643
571,664
572,645
573,624
574,562
575,488
576,598
577,440
578,587
579,680
580,646
581,576
582,713
583,595
584,63
585,425
586,74
587,538
588,614
589,511
590,610
591,666
592,717
593,672
594,659
595,647
596,599
597,568
598,630
599,596
600,628
601,600
602,719
603,579
604,597
605,639
606,698
607,670
608,458
609,633
610,772
611,557
612,601
613,520
614,631
615,476
616,684
617,662
618,221
619,396
620,658
621,509
622,746
623,380
624,667
625,277
626,651
627,523
628,661
629,334
630,615
631,401
632,663
633,541
634,93
635,678
636,740
637,739
638,729
639,732
640,607
641,702
642,707
643,693
644,709
645,721
646,616
647,29
648,602
649,705
650,700
651,653
652,703
653,676
654,675
655,683
656,751
657,742
658,745
659,780
660,580
661,711
662,575
663,714
664,694
665,668
666,641
667,706
668,744
669,688
670,686
671,677
672,718
673,685
674,122
675,640
676,759
677,791
678,760
679,788
680,256
681,182
682,648
683,665
684,660
685,734
686,504
687,671
688,650
689,634
690,374
691,738
692,762
693,736
694,674
695,588
696,308
697,635
698,584
699,690
700,219
701,747
702,669
703,687
704,715
705,625
706,792
707,358
708,777
709,723
710,710
711,768
712,728
713,733
714,306
715,604
716,249
717,605
718,582
719,114
720,748
721,621
722,754
723,765
724,794
725,701
726,181
727,270
728,572
729,743
730,730
731,189
732,763
733,620
734,655
735,750
736,749
737,737
738,727
739,790
740,789
741,298
742,447
743,130
744,766
745,761
746,545
747,758
748,343
749,679
750,553
751,771
752,774
753,103
754,756
755,231
756,423
757,708
758,783
759,775
760,506
761,313
762,454
763,484
764,657
765,45
766,769
767,691
768,764
769,125
770,753
771,773
772,787
773,485
774,384
775,786
776,695
777,696
778,784
779,726
780,654
781,779
782,692
783,475
784,611
785,755
786,495
787,731
788,586
789,97
790,591
791,546
792,528
793,778
794,725
