hindex,publications
2.201,4.403
2.064,4.293
1.924,4.262
1.903,4.194
1.954,4.100
1.991,4.045
1.908,4.019
2.167,3.997
2.223,3.901
2.009,3.895
2.068,3.858
1.763,3.838
1.748,3.804
1.987,3.801
2.310,3.796
1.778,3.692
1.968,3.684
2.179,3.674
1.839,3.672
1.898,3.642
2.079,3.642
2.053,3.609
2.124,3.604
2.086,3.586
1.724,3.584
1.477,3.578
1.973,3.575
2.161,3.556
1.875,3.546
2.000,3.540
2.093,3.522
1.929,3.503
1.944,3.491
1.792,3.461
2.041,3.423
1.491,3.421
1.978,3.416
1.785,3.401
1.820,3.388
1.146,3.348
1.886,3.320
1.708,3.305
1.845,3.300
1.279,3.300
1.663,3.296
1.690,3.291
1.934,3.269
1.681,3.267
1.964,3.259
1.863,3.253
1.881,3.219
1.591,3.218
1.699,3.216
1.892,3.204
1.623,3.198
1.580,3.198
1.531,3.188
1.914,3.163
1.519,3.155
1.672,3.151
1.544,3.140
1.949,3.124
1.447,3.120
1.362,3.117
1.204,3.108
1.602,3.104
1.431,3.075
1.633,3.069
1.716,3.052
1.079,3.046
1.613,3.042
1.505,3.017
1.568,3.013
1.857,3.006
1.653,2.992
1.732,2.991
1.255,2.990
1.959,2.988
1.756,2.976
1.041,2.964
1.851,2.956
1.398,2.944
1.342,2.938
2.049,2.925
1.813,2.918
1.230,2.917
1.322,2.908
1.380,2.907
1.799,2.906
1.826,2.890
1.833,2.883
1.415,2.871
1.176,2.845
1.301,2.840
1.643,2.820
1.462,2.806
1.114,2.699
1.806,2.604
1.740,2.602
1.556,2.491
