column 1,column 2,label
15,1,
3,2,
73,3,
18,4,
2,5,
27,6,
29,7,
26,8,
16,9,
52,10,
21,11,
19,12,
1,13,
22,14,
50,15,
23,16,
25,17,
165,18,MOBIHOC
6,19,
8,20,
40,21,
169,22,VTC
81,23,
85,24,
24,25,
9,26,
4,27,
87,28,
45,29,
143,30,
13,31,
35,32,
39,33,
120,34,
5,35,
67,36,
59,37,
60,38,
14,39,
34,40,
7,41,
223,42,AAMAS
76,43,
61,44,
11,45,
31,46,
30,47,
38,48,
672,49,HLT
37,50,
58,51,
28,52,
48,53,
83,54,
12,55,
49,56,
47,57,
66,58,
55,59,
64,60,
20,61,
65,62,
33,63,
17,64,
57,65,
71,66,
135,67,
152,68,
70,69,
68,70,
75,71,
195,72,
63,73,
99,74,
452,75,CHES
90,76,
142,77,
168,78,
82,79,
84,80,
96,81,
103,82,
36,83,
42,84,
146,85,
151,86,
240,87,
160,88,
286,89,PIMRC
10,90,
196,91,
69,92,
154,93,
177,94,
72,95,
102,96,
141,97,
174,98,
305,99,SACMAT
368,100,AOSD
53,101,
112,102,
238,103,
51,104,
56,105,
78,106,
80,107,
158,108,
164,109,
173,110,
188,111,
217,112,
629,113,PACT
74,114,
89,115,
109,116,
115,117,
126,118,
91,119,
107,120,
283,121,
408,122,CAISE
113,123,
162,124,
127,125,
149,126,
222,127,
328,128,
422,129,BPM
117,130,
176,131,
185,132,
210,133,
215,134,
233,135,
411,136,ICDAR
95,137,
110,138,
186,139,
213,140,
248,141,
260,142,
351,143,
54,144,
62,145,
105,146,
114,147,
137,148,
140,149,
271,150,
335,151,
339,152,
364,153,
698,154,PPSN
118,155,
218,156,
247,157,
111,158,
178,159,
249,160,
261,161,
583,162,ICITS
198,163,
202,164,
367,165,
401,166,
46,167,
94,168,
121,169,
148,170,
159,171,
163,172,
259,173,
662,174,EDOC
43,175,ICCD
150,176,
157,177,
183,178,
194,179,
211,180,
104,181,
129,182,
189,183,
199,184,
227,185,
268,186,
325,187,
538,188,CSMR
106,189,
116,190,
128,191,
155,192,
304,193,
311,194,
344,195,
396,196,
600,197,WI
101,198,
136,199,
144,200,
253,201,
272,202,
278,203,
282,204,
343,205,
262,206,
264,207,
314,208,
322,209,
357,210,
370,211,
754,212,ICCS
190,213,
228,214,
289,215,
419,216,
133,217,
191,218,
197,219,
203,220,
220,221,
255,222,
263,223,
374,224,
404,225,
627,226,NORDICHI
745,227,EUROGP
77,228,
86,229,
124,230,
131,231,
172,232,
204,233,
205,234,
246,235,
310,236,
406,237,
456,238,
590,239,NETGAMES
589,240,MCS
676,241,ICEC
92,242,
100,243,
139,244,
181,245,
214,246,
234,247,
254,248,
291,249,
360,250,
383,251,
400,252,
403,253,
433,254,
492,255,
575,256,
184,257,
232,258,
236,259,
242,260,
270,261,
333,262,
366,263,
389,264,
386,265,
398,266,
434,267,
440,268,
514,269,
574,270,
603,271,
41,272,ISIT
226,273,
250,274,
267,275,
388,276,
424,277,
482,278,
44,279,CDC
122,280,
134,281,
187,282,
296,283,
327,284,
394,285,
413,286,
431,287,
450,288,
557,289,
592,290,
712,291,WSCG
663,292,EICS
98,293,AIED
167,294,
209,295,
258,296,
275,297,
318,298,
365,299,
438,300,
454,301,
455,302,
507,303,
642,304,
153,305,
212,306,
219,307,
229,308,
316,309,
353,310,
345,311,
432,312,
475,313,
488,314,
561,315,
547,316,
703,317,SIBGRAPI
147,318,
166,319,
171,320,
251,321,
274,322,
284,323,
300,324,
295,325,
317,326,
346,327,
355,328,
359,329,
378,330,
397,331,
427,332,
471,333,
494,334,
483,335,
490,336,
509,337,
576,338,
661,339,
651,340,
739,341,
97,342,ICWSM
175,343,
231,344,
241,345,
326,346,
331,347,
336,348,
337,349,
373,350,
385,351,
447,352,
634,353,
666,354,
772,355,
179,356,
180,357,
193,358,
208,359,
294,360,
303,361,
307,362,
312,363,
338,364,
348,365,
412,366,
448,367,
430,368,
451,369,
457,370,
466,371,
526,372,
543,373,
593,374,
765,375,
787,376,
243,377,
256,378,
266,379,
269,380,
279,381,
285,382,
299,383,
342,384,
358,385,
390,386,
384,387,
426,388,
478,389,
524,390,
598,391,
569,392,
608,393,
638,394,
682,395,
644,396,
704,397,
679,398,
776,399,
125,400,DGO
206,401,
276,402,
287,403,
391,404,
444,405,
476,406,
459,407,
465,408,
503,409,
504,410,
527,411,
579,412,
647,413,
766,414,
760,415,
161,416,CONLL
244,417,
290,418,
319,419,
330,420,
352,421,
405,422,
392,423,
402,424,
470,425,
497,426,
541,427,
560,428,
558,429,
568,430,
584,431,
614,432,
631,433,
628,434,
626,435,
604,436,
697,437,
656,438,
221,439,
224,440,
230,441,
237,442,
309,443,
321,444,
409,445,
469,446,
548,447,
587,448,
586,449,
621,450,
630,451,
620,452,
771,453,
257,454,
313,455,
332,456,
361,457,
377,458,
417,459,
420,460,
415,461,
435,462,
423,463,
484,464,
491,465,
479,466,
525,467,
515,468,
582,469,
622,470,
653,471,
768,472,
759,473,
714,474,
108,475,CCCG
132,476,SMC
170,477,CLOUD
182,478,TARK
200,479,AIIDE
225,480,
273,481,
356,482,
425,483,
486,484,
519,485,
616,486,
648,487,
692,488,
773,489,
778,490,
737,491,
306,492,
323,493,
329,494,
371,495,
410,496,
460,497,
480,498,
496,499,
517,500,
545,501,
537,502,
533,503,
559,504,
566,505,
602,506,
618,507,
658,508,
667,509,
749,510,
