zscore,pscore,hindex
3.160717274,8.74365506,6.893589665
2.870987999,8.193056253,5.424233599
2.715878887,7.573632596,5.10653499
2.607218535,7.382452454,4.788836381
2.522686819,7.160683491,4.629987077
2.453069273,6.480082188,4.550562425
2.393633596,6.197135579,4.550562425
2.34161512,6.013602643,4.074014512
2.295253471,5.921836175,3.716603577
2.253356161,5.707714417,3.637178925
2.215076703,4.583575187,3.557754272
2.179791786,4.300628578,3.438617294
2.147028686,4.231803727,3.398904968
2.116420067,4.048270792,3.27976799
2.087674621,3.956504324,3.240055664
2.060557295,3.933562707,3.160631011
2.034875585,3.673557715,3.160631011
2.010469776,3.3829639,3.160631011
1.987205843,3.214725376,2.842932403
1.964970175,3.168842142,2.76350775
1.94366561,3.153547731,2.684083098
1.923208364,2.862953916,2.684083098
1.903525678,2.78648186,2.644370772
1.884553944,2.687068186,2.644370772
1.866237218,2.549418485,2.56494612
1.848526027,2.365885549,2.525233794
1.831376399,2.335296726,2.485521468
1.814749071,2.167058202,2.485521468
1.798608834,2.0294085,2.445809142
1.782923988,2.014114089,2.406096816
1.767665885,2.006466884,2.366384489
1.752808548,1.922347621,2.366384489
1.738328347,1.899406004,2.326672163
1.724203718,1.807639537,2.326672163
1.71041493,1.777050714,2.286959837
1.69694388,1.669989835,2.286959837
1.683773916,1.662342629,2.207535185
1.670889687,1.601164984,2.207535185
1.658277006,1.593517779,2.167822859
1.645922739,1.578223367,2.167822859
1.633814696,1.547634545,2.128110533
1.621941547,1.509398516,2.128110533
1.610292741,1.440573666,2.048685881
1.598858433,1.43292646,2.008973555
1.587629423,1.402337637,1.969261229
1.576597104,1.402337637,1.929548902
1.565753405,1.341159992,1.889836576
1.555090752,1.341159992,1.889836576
1.544602026,1.341159992,1.889836576
1.534280526,1.302923964,1.85012425
1.524119937,1.295276758,1.85012425
1.514114301,1.264687936,1.810411924
1.504257992,1.234099113,1.810411924
1.494545688,1.157627057,1.810411924
1.484972351,1.142332645,1.770699598
1.475533207,1.13468544,1.691274946
1.466223729,1.111743823,1.691274946
1.457039616,1.088802206,1.691274946
1.447976783,1.073507794,1.65156262
1.439031343,1.050566177,1.65156262
1.430199596,1.042918972,1.611850294
1.421478015,1.035271766,1.611850294
1.412863241,1.035271766,1.572137968
