column 1,column 2
1,10
2,33
3,2
4,57
5,58
6,29
7,35
8,36
9,181
10,102
11,78
12,45
13,12
14,54
15,97
16,61
17,1
18,4
19,16
20,137
21,22
22,14
23,31
24,19
25,25
26,59
27,3
28,9
29,753
30,64
31,77
32,40
33,5
34,74
35,17
36,26
37,100
38,49
39,52
40,32
41,7
42,30
43,39
44,107
45,115
46,70
47,249
48,24
49,163
50,76
51,80
52,71
53,43
54,260
55,442
56,79
57,170
58,13
59,63
60,38
61,20
62,69
63,41
64,44
65,62
66,503
67,23
68,193
69,235
70,68
71,104
72,96
73,81
74,394
75,705
76,89
77,48
78,111
79,142
80,37
81,15
82,732
83,116
84,147
85,88
86,341
87,254
88,18
89,719
90,291
91,67
92,579
93,135
94,264
95,161
96,210
97,378
98,127
99,357
100,121
101,202
102,227
103,84
104,178
105,11
106,99
107,155
108,51
109,125
110,537
111,146
112,157
113,105
114,167
115,148
116,187
117,174
118,34
119,75
120,309
121,424
122,122
123,184
124,565
125,27
126,124
127,106
128,172
129,195
130,42
131,294
132,86
133,177
134,206
135,219
136,314
137,331
138,153
139,220
140,303
141,21
142,239
143,278
144,281
145,82
146,199
147,55
148,413
149,191
150,198
151,95
152,66
153,335
154,150
155,638
156,207
157,682
158,214
159,6
160,211
161,93
162,131
163,709
164,94
165,346
166,461
167,128
168,222
169,205
170,343
171,92
172,132
173,83
174,118
175,702
176,301
177,395
178,530
179,133
180,90
181,130
182,764
183,98
184,644
185,208
186,412
187,471
188,226
189,197
190,166
191,364
192,217
193,443
194,189
195,160
196,224
197,352
198,151
199,327
200,257
201,221
202,230
203,785
204,302
205,126
206,103
207,250
208,243
209,134
210,597
211,139
212,141
213,8
214,101
215,523
216,196
217,427
218,182
219,65
220,323
221,203
222,366
223,659
224,87
225,225
226,244
227,456
228,173
229,492
230,168
231,272
232,328
233,296
234,479
235,345
236,108
237,386
238,283
239,536
240,119
241,564
242,258
243,164
244,113
245,129
246,316
247,730
248,145
249,186
250,156
251,123
252,91
253,143
254,407
255,295
256,403
257,738
258,259
259,213
260,324
261,268
262,757
263,480
264,60
265,140
266,192
267,269
268,231
269,547
270,136
271,769
272,110
273,475
274,453
275,787
276,190
277,293
278,532
279,362
280,46
281,297
282,627
283,713
284,229
285,415
286,241
287,700
288,154
289,388
290,315
291,73
292,416
293,218
294,476
295,663
296,329
297,373
298,109
299,159
300,236
301,408
302,255
303,439
304,289
305,715
306,463
307,209
308,277
309,590
310,246
311,577
312,576
313,493
314,774
315,370
316,477
317,112
318,175
319,484
320,53
321,204
322,390
323,441
324,238
325,399
326,336
327,440
328,117
329,662
330,749
331,340
332,344
333,431
334,428
335,545
336,248
337,782
338,279
339,318
340,306
341,490
342,263
343,322
344,158
345,450
346,736
347,400
348,507
349,652
350,215
351,401
352,731
353,149
354,414
355,592
356,435
357,628
358,704
359,354
360,194
361,310
362,457
363,326
364,144
365,740
366,162
367,179
368,467
369,114
370,741
371,270
372,486
373,433
374,171
375,85
376,557
377,319
378,305
379,339
380,648
381,353
382,598
383,615
384,361
385,512
386,391
387,723
388,779
389,365
390,762
391,548
392,382
393,247
394,691
395,228
396,544
397,629
398,273
399,409
400,358
401,464
402,420
403,775
404,673
405,444
406,405
407,237
408,290
409,351
410,639
411,201
412,165
413,474
414,200
415,566
416,312
417,367
418,758
419,511
420,680
421,325
422,751
423,253
424,468
425,284
426,286
427,288
428,554
429,387
430,688
431,549
432,624
433,574
434,711
435,176
436,393
437,262
438,768
439,697
440,363
441,397
442,287
443,633
444,677
445,720
446,481
447,282
448,631
449,376
450,276
451,612
452,602
453,535
454,334
455,338
456,605
457,152
458,265
459,573
460,531
461,588
462,138
463,419
464,50
465,513
466,188
467,603
468,714
469,668
470,587
471,308
472,47
473,252
474,563
475,300
476,385
477,383
478,321
479,509
480,594
481,571
482,392
483,432
484,583
485,311
486,755
487,333
488,445
489,275
490,491
491,542
492,460
493,708
494,607
495,478
496,578
497,514
498,505
499,330
500,495
501,572
502,735
503,421
504,410
505,350
506,56
507,618
508,434
509,777
510,251
511,623
512,504
513,510
514,550
515,654
516,710
517,455
518,274
519,526
520,304
521,621
522,645
523,242
524,552
525,355
526,568
527,647
528,359
529,649
530,589
531,418
532,551
533,538
534,285
535,724
536,234
537,642
538,737
539,656
540,586
541,516
542,543
543,466
544,374
545,501
546,72
547,447
548,517
549,540
550,690
551,561
552,485
553,292
554,448
555,469
556,524
557,320
558,425
559,609
560,721
561,765
562,613
563,449
564,776
565,185
566,529
567,534
568,786
569,692
570,454
571,497
572,784
573,183
574,733
575,646
576,580
577,567
578,402
579,661
580,429
581,240
582,396
583,377
584,752
585,349
586,506
587,706
588,669
589,679
590,371
591,788
592,739
593,232
594,527
595,347
596,245
597,640
598,369
599,533
600,482
601,653
602,791
603,641
604,698
605,614
