column 1,column 2
1,13
2,5
3,2
4,28
5,36
6,19
7,42
8,20
9,27
10,91
11,46
12,56
13,32
14,40
15,1
16,9
17,65
18,4
19,12
20,62
21,11
22,14
23,16
24,26
25,17
26,8
27,6
28,53
29,7
30,48
31,47
32,21
33,791
34,64
35,41
36,33
37,84
38,51
39,49
40,34
41,22
42,281
43,85
44,179
45,289
46,171
47,30
48,57
49,58
50,54
51,15
52,106
53,10
54,102
55,146
56,60
57,107
58,66
59,52
60,38
61,39
62,45
63,61
64,74
65,147
66,63
67,59
68,37
69,71
70,93
71,70
72,67
73,96
74,3
75,116
76,72
77,44
78,233
79,108
80,734
81,109
82,24
83,80
84,55
85,81
86,25
87,234
88,29
89,282
90,778
91,77
92,117
93,121
94,248
95,545
96,139
97,172
98,82
99,355
100,75
101,303
102,249
103,202
104,97
105,83
106,185
107,148
108,122
109,193
110,502
111,118
112,140
113,161
114,103
115,149
116,119
117,125
118,194
119,132
120,35
121,157
122,173
123,599
124,290
125,546
126,235
127,792
128,127
129,417
130,120
131,195
132,186
133,369
134,817
135,221
136,503
137,236
138,291
139,150
140,203
141,68
142,683
143,250
144,98
145,151
146,204
147,78
148,31
149,663
150,86
151,330
152,128
153,174
154,180
155,69
156,87
157,316
158,94
159,196
160,644
161,110
162,181
163,175
164,433
165,89
166,18
167,126
168,176
169,111
170,304
171,331
172,79
173,23
174,332
175,504
176,112
177,237
178,162
179,95
180,99
181,370
182,133
183,356
184,434
185,371
186,251
187,505
188,182
189,264
190,854
191,134
192,163
193,113
194,187
195,141
196,292
197,217
198,222
199,223
200,839
201,372
202,183
203,73
204,92
205,167
206,224
207,188
208,238
209,305
210,572
211,506
212,168
213,225
214,239
215,418
216,779
217,373
218,184
219,135
220,306
221,317
222,136
223,265
224,252
225,142
226,226
227,459
228,318
229,114
230,158
231,735
232,129
233,460
234,507
235,283
236,43
237,218
238,461
239,266
240,189
241,357
242,319
243,104
244,573
245,137
246,868
247,267
248,253
249,462
250,358
251,374
252,88
253,435
254,393
255,703
256,240
257,268
258,143
259,320
260,284
261,159
262,600
263,333
264,164
265,394
266,205
267,227
268,818
269,254
270,177
271,479
272,307
273,165
274,144
275,210
276,228
277,840
278,211
279,285
280,395
281,190
282,152
283,508
284,269
285,396
286,206
287,207
288,419
289,308
290,334
291,624
292,397
293,90
294,398
295,123
296,335
297,736
298,208
299,841
300,420
301,737
302,255
303,219
304,869
305,375
306,436
307,547
308,376
309,601
310,684
311,819
312,463
313,100
314,522
315,377
316,399
317,780
318,293
319,664
320,336
321,704
322,337
323,197
324,241
325,212
326,198
327,480
328,378
329,793
330,338
331,437
332,464
333,523
334,191
335,625
336,213
337,755
338,321
339,309
340,359
341,574
342,438
343,602
344,524
345,270
346,153
347,360
348,481
349,361
350,294
351,130
352,379
353,400
354,154
355,705
356,645
357,105
358,209
359,362
360,626
361,145
362,322
363,665
364,339
365,820
366,855
367,380
368,323
369,439
370,199
371,738
372,271
373,340
374,548
375,256
376,169
377,310
378,341
379,155
380,401
381,214
382,509
383,272
384,482
385,549
386,525
387,483
388,627
389,646
390,229
391,781
392,685
393,215
394,363
395,101
396,794
397,342
398,795
399,402
400,364
401,257
402,842
403,550
404,403
405,870
406,273
407,286
408,274
409,551
410,381
411,440
412,821
413,441
414,160
415,343
416,258
417,275
418,230
419,442
420,295
421,843
422,170
423,575
424,421
425,259
426,200
427,796
428,484
429,526
430,552
431,465
432,138
433,382
434,628
435,485
436,486
437,242
438,124
439,220
440,603
441,296
442,324
443,706
444,487
