pscore,publications
3.079,4.293
3.052,3.997
3.020,3.901
3.009,3.957
2.997,3.739
2.956,3.895
2.938,4.513
2.926,3.540
2.920,3.575
2.905,4.093
2.817,4.194
2.792,3.546
2.785,3.813
2.768,3.439
2.759,3.796
2.757,3.522
2.730,4.223
2.698,3.674
2.679,3.858
2.673,3.047
2.671,3.642
2.634,3.609
2.624,3.743
2.611,3.416
2.591,3.262
2.563,3.604
2.559,3.478
2.531,3.248
2.508,3.622
2.505,3.424
2.504,3.642
2.489,3.108
2.484,3.300
2.467,3.559
2.461,4.271
2.439,3.244
2.438,3.024
2.425,3.197
2.423,3.107
2.420,3.020
2.413,4.023
2.405,3.502
2.389,3.523
2.387,4.495
2.380,3.545
2.365,3.401
2.356,2.925
2.354,4.340
2.346,3.586
2.338,3.004
2.318,3.048
2.314,2.815
2.312,3.831
2.305,2.500
2.299,3.494
2.294,2.880
2.288,3.471
2.286,4.019
2.283,3.099
2.272,2.841
2.238,2.838
2.215,2.852
2.207,3.183
2.204,3.013
2.201,3.086
2.196,3.560
2.185,4.403
2.176,3.237
2.164,2.603
2.161,3.163
2.158,3.779
2.155,3.018
2.152,2.853
2.146,2.767
2.140,4.059
2.137,3.677
2.134,2.507
2.127,3.072
2.114,3.078
2.107,3.184
2.104,2.783
2.100,2.798
2.097,3.275
2.090,2.880
2.086,3.084
2.083,3.145
2.079,3.662
2.072,2.743
2.064,3.026
2.057,2.937
2.045,3.695
2.033,3.003
2.013,2.979
2.000,3.015
1.987,3.062
1.978,2.740
1.973,3.165
1.968,2.568
1.954,3.166
1.944,3.105
1.940,3.754
1.934,3.092
1.929,2.927
1.919,2.973
1.914,3.377
1.908,3.308
1.898,2.556
1.886,3.342
,.
1.869,3.969
1.863,2.828
1.851,3.035
1.845,3.215
1.839,2.851
1.833,3.298
1.826,3.006
1.820,2.846
1.806,3.370
1.799,3.900
1.792,2.751
1.785,2.968
1.778,2.905
1.771,3.167
1.756,2.907
1.748,2.914
1.740,2.661
1.732,4.052
1.724,3.135
1.716,3.254
1.708,3.060
1.690,3.181
1.681,2.490
1.672,3.489
1.663,2.740
1.643,2.898
1.633,2.599
1.623,3.530
1.613,3.354
1.602,2.767
1.591,2.650
1.580,2.910
1.568,3.058
1.556,3.089
1.544,3.472
1.531,3.214
1.519,3.182
1.505,3.145
1.491,2.951
1.477,2.996
1.462,3.071
1.447,3.046
1.431,2.932
1.415,2.714
1.398,2.623
1.380,3.296
1.362,3.765
1.342,3.307
1.322,2.949
1.301,3.008
1.279,3.208
1.255,2.829
1.230,3.059
1.204,2.895
1.176,3.248
1.146,3.235
1.114,2.963
1.079,3.059
1.041,2.677
