column 1,column 2
1,1
2,8
3,3
4,16
5,12
6,18
7,4
8,15
9,20
10,33
11,41
12,46
13,13
14,52
15,7
16,21
17,23
18,5
19,28
20,241
21,17
22,37
23,22
24,42
25,38
26,26
27,9
28,72
29,14
30,56
31,70
32,181
33,57
34,66
35,25
36,78
37,82
38,49
39,44
40,50
41,40
42,69
43,117
44,11
45,30
46,89
47,54
48,61
49,87
50,32
51,19
52,24
53,155
54,138
55,73
56,85
57,147
58,91
59,84
60,43
61,39
62,86
63,83
64,139
65,47
66,120
67,108
68,102
69,94
70,88
71,62
72,90
73,35
74,115
75,167
76,65
77,67
78,152
79,256
80,145
81,34
82,51
83,79
84,143
85,48
86,280
87,140
88,306
89,131
90,64
91,160
92,191
93,207
94,36
95,257
96,68
97,307
98,124
99,161
100,255
101,330
102,60
103,119
104,184
105,141
106,95
107,333
108,386
109,183
110,148
111,199
112,137
113,201
114,242
115,162
116,118
117,80
118,197
119,110
120,146
121,735
122,210
123,291
124,159
125,128
126,101
127,569
128,190
129,203
130,545
131,303
132,2
133,230
134,387
135,144
136,276
137,176
138,107
139,323
140,93
141,243
142,150
143,77
144,239
145,221
146,99
147,268
148,217
149,724
150,126
151,136
152,98
153,27
154,151
155,216
156,600
157,228
158,208
159,195
160,279
161,171
162,81
163,96
164,121
165,295
166,157
167,414
168,135
169,10
170,366
171,286
172,348
173,104
174,213
175,123
176,320
177,164
178,340
179,163
180,360
181,170
182,305
183,309
184,397
185,689
186,202
187,260
188,133
189,100
190,220
191,177
192,506
193,179
194,508
195,169
196,76
197,361
198,92
199,188
200,283
201,426
202,274
203,574
204,781
205,317
206,604
207,437
208,369
209,180
210,209
211,373
212,111
213,336
214,204
215,315
216,174
217,214
218,187
219,335
220,182
221,752
222,116
223,55
224,349
225,408
226,526
227,252
228,332
229,531
230,158
231,300
232,296
233,186
234,331
235,106
236,248
237,637
238,692
239,345
240,153
241,411
242,266
243,371
244,342
245,676
246,365
247,271
248,212
249,473
250,466
251,430
252,105
253,234
254,246
255,368
256,294
257,311
258,297
259,316
260,372
261,227
262,245
263,512
264,229
265,363
266,498
267,215
268,313
269,109
270,347
271,194
272,518
273,273
274,467
275,592
276,351
277,63
278,392
279,168
280,454
281,500
282,474
283,75
284,481
285,436
286,165
287,648
288,665
289,427
290,475
291,238
292,337
293,389
294,527
295,249
296,235
297,413
298,378
299,71
300,329
301,603
302,451
303,678
304,431
305,489
306,675
307,758
308,326
309,793
310,265
311,270
312,324
313,299
314,129
315,287
316,325
317,211
318,359
319,282
320,425
321,626
322,529
323,219
324,357
325,244
326,722
327,172
328,278
329,493
330,403
331,166
332,225
333,409
334,439
335,327
336,398
337,563
338,275
339,302
340,285
341,284
342,683
343,719
344,461
345,499
346,232
347,74
348,462
349,517
350,416
351,198
352,396
353,343
354,787
355,486
356,192
357,560
358,251
359,339
360,377
361,53
362,566
363,609
364,406
365,223
366,479
367,556
368,222
369,328
370,740
371,205
372,314
373,542
374,579
375,354
376,572
377,236
378,538
379,743
380,605
381,428
382,388
383,390
384,611
385,269
