pscore,citations,perpaper,hindex,npscore,nhindex,label,group
1,1,169,13,2,33,,2
2,8,86,5,1,10,,2
3,3,21,2,3,2,,2
4,16,310,27,5,58,,2
5,12,777,35,4,57,,2
6,18,191,19,8,36,,2
7,4,298,41,10,102,,2
8,15,20,20,6,29,,2
9,20,55,26,7,35,,2
10,33,303,91,9,181,IROS,3
11,41,429,45,15,97,,2
12,46,136,55,11,78,,2
13,13,179,32,14,54,,2
14,52,63,39,12,45,,2
15,7,51,1,17,1,,2
16,21,40,9,13,12,,2
17,23,462,66,20,137,,2
18,5,35,4,18,4,,2
19,28,225,12,21,22,,2
20,241,770,62,16,61,,2
21,17,111,11,19,16,,2
22,37,59,14,24,19,,2
23,22,83,18,25,25,,2
24,42,31,25,23,31,,2
25,38,12,16,22,14,,2
26,26,64,8,28,9,,2
27,9,10,6,27,3,,2
28,72,780,52,26,59,,2
29,14,26,7,33,5,,2
30,56,100,47,30,64,,2
31,70,163,46,34,74,,2
32,181,709,743,29,753,ICMCS,3
33,57,142,63,31,77,,2
34,66,188,40,39,52,,2
35,25,394,31,51,80,,2
36,78,160,83,37,100,,2
37,82,61,51,32,40,,2
38,49,96,49,38,49,,2
39,44,15,33,36,26,,2
40,50,14,21,35,17,,2
41,40,218,278,55,442,ISIT,3
42,69,120,85,45,115,,2
43,117,612,177,47,249,ICCD,3
44,11,450,283,66,503,CDC,3
45,30,5,29,42,30,,2
46,89,397,173,54,260,ICPP,3
47,87,98,56,46,70,,2
48,61,102,58,50,76,,2
49,54,214,53,52,71,,2
50,32,16,15,41,7,,2
51,19,391,105,69,235,,2
52,24,67,10,58,13,,2
53,155,255,101,44,107,,2
54,138,97,151,49,163,,2
55,73,6,60,43,39,,2
56,85,314,109,68,193,,2
57,147,3,65,40,32,,2
58,91,284,50,62,69,,2
59,84,32,38,48,24,,2
60,43,36,37,64,44,,2
61,39,424,44,76,89,,2
62,83,38,59,59,63,,2
63,86,106,148,57,170,,2
64,139,173,75,56,79,,2
65,47,2,61,53,43,,2
66,120,17,57,60,38,,2
67,108,57,36,61,20,,2
68,102,260,72,73,81,,2
69,94,786,69,65,62,,2
70,88,74,93,71,104,,2
71,62,46,67,70,68,,2
72,90,212,95,84,147,,2
73,35,478,3,105,11,,2
74,115,112,115,79,142,,2
75,167,13,71,63,41,,2
76,65,103,43,80,37,,2
77,67,341,232,97,378,WCNC,3
78,152,167,111,78,111,,2
79,256,115,687,75,705,LCPC,3
80,145,24,104,72,96,,2
81,34,308,24,108,51,,2
82,51,362,80,98,127,,2
83,79,1,54,67,23,,2
84,143,140,79,85,88,,2
85,48,23,23,88,18,,2
86,280,426,231,90,291,ISQED,3
87,140,75,28,81,15,,2
88,306,143,719,82,732,ISER,3
89,160,521,120,104,178,,2
90,131,9,76,77,48,,2
91,64,147,116,93,135,,2
92,191,315,250,87,254,WACV,3
93,207,350,523,92,579,ITS,3
94,36,164,167,102,227,,2
95,257,49,139,83,116,,2
96,68,233,81,109,125,,2
97,307,66,351,86,341,ICWSM,3
98,161,428,294,99,357,AIED,3
99,124,144,74,91,67,,2
100,255,236,251,94,264,GIS,3
101,60,516,96,123,184,,2
102,330,252,198,96,210,,2
103,184,406,181,101,202,,2
104,119,78,82,103,84,,2
105,141,190,154,107,155,,2
106,95,372,121,111,146,,2
107,333,101,193,95,161,,2
108,386,682,491,110,537,CCCG,3
109,183,47,118,106,99,,2
110,148,253,138,117,174,,2
111,199,48,162,100,121,,2
112,137,217,102,122,122,,2
113,242,319,153,115,148,,2
114,162,290,123,128,172,,2
115,201,370,117,113,105,,2
116,118,476,191,140,303,,2
117,146,420,156,129,195,,2
118,735,192,564,74,394,DCC,3
119,110,94,135,133,177,,2
120,197,76,171,114,167,,2
121,80,234,34,125,27,,2
122,210,174,284,120,309,,2
123,291,281,534,124,565,HUMANOIDS,3
124,159,488,238,136,314,,2
125,101,259,129,146,199,,2
126,128,72,114,126,124,,2
127,569,755,414,121,424,LREC,3
128,190,68,196,112,157,,2
129,203,396,185,142,239,,2
130,545,50,758,89,719,WAFR,3
131,230,471,228,153,335,,2
132,303,8,225,116,187,,2
133,2,210,479,184,644,WSDM,3
134,387,261,290,131,294,,2
135,144,18,64,130,42,,2
136,176,432,149,149,191,,2
137,276,299,201,134,206,,2
138,93,304,635,163,709,CICC,3
139,107,123,147,138,153,,2
140,323,154,97,132,86,,2
141,243,363,244,144,281,,2
142,77,54,30,141,21,IPTPS,1
143,150,27,78,118,34,,2
144,239,307,199,139,220,,2
145,221,519,625,157,682,MMSP,3
146,99,58,84,151,95,,2
147,268,297,327,137,331,,2
148,217,277,170,150,198,,2
149,724,388,125,119,75,,2
150,126,30,68,147,55,,2
151,98,267,87,179,133,,2
152,136,155,175,156,207,,2
153,27,45,307,187,471,,2
154,151,754,92,145,82,,2
155,600,359,607,155,638,CLUSTER,3
156,216,157,192,158,214,,2
157,228,25,180,127,106,,2
158,208,328,110,167,128,,2
159,195,268,174,169,205,,2
160,171,84,89,171,92,,2
161,279,56,416,148,413,CONLL,3
162,96,99,113,174,118,,2
163,121,151,124,172,132,,2
164,295,135,172,154,150,,2
165,81,28,17,159,6,MOBIHOC,1
166,414,60,296,135,219,,2
167,157,193,326,165,346,,2
168,10,383,22,219,65,ACSAC,1
169,135,107,77,180,90,,2
170,367,288,486,178,531,CLOUD,3
171,286,467,322,186,412,,2
172,104,204,108,195,160,,2
173,349,19,241,160,211,,2
174,123,243,94,183,98,,2
175,340,520,375,177,395,,2
176,213,4,98,152,66,,2
177,164,223,158,189,197,,2
178,163,518,131,194,189,,2
179,321,187,345,170,343,,2
180,170,354,253,199,327,,2
181,360,338,488,166,461,MFCS,3
182,305,568,373,193,443,,2
183,689,254,133,164,94,,2
184,397,80,260,168,222,,2
185,309,69,176,162,131,,2
186,133,333,183,196,224,,2
187,100,702,292,227,456,,2
188,202,89,107,173,83,,2
